code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM,MBRevenue,totalShare,liqaShare
sz.000001,2011-04-27,2011-03-31,0.069165,0.413101,,2402199000.000000,2.039561,,3485013762.00,3105358511.00
sz.000002,2011-04-20,2011-03-31,0.026851,0.149301,0.489505,1189964720.770000,0.669536,,10995210218.00,9660889972.00
sz.000004,2011-04-23,2011-03-31,0.002336,0.051978,0.366106,1363046.850000,0.141430,,83976684.00,83877184.00
sz.000005,2011-04-30,2011-03-31,-0.009252,-0.628546,0.463540,-6291033.080000,0.006005,,914333607.00,913743007.00
sz.000006,2011-04-22,2011-03-31,0.021241,0.107625,0.460757,53790086.510000,0.652102,,760774893.00,742475902.00
sz.000007,2011-04-28,2011-03-31,,-0.010379,0.773792,-343185.290000,0.115947,,184965363.00,184965363.00
sz.000008,2011-04-23,2011-03-31,-0.003693,-0.092254,0.250930,-273896.080000,0.009171,,73653208.00,73653118.00
sz.000009,2011-04-27,2011-03-31,0.040460,0.226335,0.400239,149253051.420000,0.318221,,1090750529.00,1072746663.00
sz.000010,2011-04-30,2011-03-31,-0.065575,-0.417353,0.443830,-4966039.560000,-0.017675,,147017448.00,67793846.00
sz.000011,2011-04-30,2011-03-31,0.279889,0.291228,0.726908,284605173.950000,0.766409,,595979092.00,139737297.00
sz.000012,2011-04-22,2011-03-31,0.062978,0.215131,0.362342,450734031.000000,0.756822,,2076143060.00,1275989068.00
sz.000014,2011-04-25,2011-03-31,-0.020874,-0.142001,0.485949,-6894722.500000,-0.041968,,201705187.00,201704238.00
sz.000016,2011-04-28,2011-03-31,-0.019436,-0.022556,0.156244,-75327826.640000,-0.023705,,1203972704.00,599910010.00
sz.000017,2011-04-27,2011-03-31,,-0.219871,0.066850,-12150753.180000,0.147224,,551347947.00,116259843.00
sz.000019,2011-04-29,2011-03-31,-0.025911,-0.093765,0.216952,-6479141.720000,0.047995,,181923088.00,141233241.00
sz.000020,2011-04-19,2011-03-31,0.012446,0.014561,0.085788,3338309.940000,0.026022,,283161227.00,64675497.00
sz.000021,2011-04-30,2011-03-31,0.010323,0.007313,0.021491,36451252.550000,0.266835,,1319277781.00,1317894655.00
sz.000023,2011-04-27,2011-03-31,0.006782,0.014218,0.170653,2089166.380000,0.191160,,138756240.00,98779584.00
sz.000025,2011-04-25,2011-03-31,0.002063,0.003911,0.166340,380683.380000,0.023382,,220281600.00,179294544.00
sz.000026,2011-04-28,2011-03-31,0.028609,0.060417,0.320649,37041345.590000,0.393826,,280548479.00,79546974.00
sz.000027,2011-04-27,2011-03-31,0.020161,0.113475,0.173949,337556054.740000,0.568659,,2202495332.00,2202495332.00
sz.000028,2011-04-29,2011-03-31,0.079616,0.025223,0.097339,88958499.530000,0.989960,,288149400.00,233259086.00
sz.000029,2011-04-29,2011-03-31,0.015985,0.091534,0.297344,23061083.850000,0.101168,,1011660000.00,891660000.00
sz.000030,2011-04-27,2011-03-31,,78.350775,,8540767.270000,-1.307392,,288420000.00,68735018.00
sz.000031,2011-04-27,2011-03-31,0.011769,0.224055,0.485972,87011867.940000,0.265104,,1813731596.00,1813716240.00
sz.000032,2011-04-28,2011-03-31,0.012702,0.031648,0.156739,14529486.090000,0.125408,,232864320.00,232819164.00
sz.000034,2011-04-19,2011-03-31,0.080401,0.052843,0.186586,5533474.830000,1.407683,,357973531.00,203238927.00
sz.000035,2011-04-27,2011-03-31,,3.595915,0.436041,4770466.580000,0.328247,,150006560.00,85392560.00
sz.000036,2011-04-27,2011-03-31,0.014784,0.211616,0.590007,34548484.880000,0.200605,,1123887712.00,1123887712.00
sz.000037,2011-04-23,2011-03-31,-0.047077,-0.191036,-0.392743,-86918965.980000,-0.148624,,602762596.00,338895157.00
sz.000038,2011-04-28,2011-03-31,-0.025404,-0.467486,0.072707,-4244576.660000,0.177975,,96227998.00,24881998.00
sz.000039,2011-04-26,2011-03-31,0.080151,0.076160,0.194584,1299035000.000000,1.504558,,2662396051.00,1231295365.00
sz.000040,2011-04-27,2011-03-31,0.115429,0.794568,0.359661,101207510.540000,0.396785,,469593364.00,435978559.00
sz.000042,2011-04-20,2011-03-31,0.061192,0.219625,0.487219,151007155.680000,1.987814,,239463040.00,239368533.00
sz.000045,2011-04-23,2011-03-31,0.010473,0.069356,0.924043,14191877.340000,0.129300,,336521849.00,195624000.00
sz.000046,2011-04-29,2011-03-31,-0.004616,-0.393394,0.325185,-37268669.240000,-0.006084,,2278655884.00,2265319384.00
sz.000048,2011-04-29,2011-03-31,,0.004200,0.118913,1050537.880000,-0.124192,,390768671.00,379850252.00
sz.000049,2011-04-28,2011-03-31,0.103284,0.073797,0.237673,29772698.290000,0.617650,,136829160.00,136786973.00
