code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM,MBRevenue,totalShare,liqaShare
sz.000001,2012-10-26,2012-09-30,0.132071,0.350335,,10345973000.000000,2.504092,,5123350416.00,3105358672.00
sz.000002,2012-10-24,2012-09-30,0.092962,0.133241,0.373799,6146172156.570000,1.011427,,10995210218.00,9662036030.00
sz.000004,2012-10-26,2012-09-30,-0.005587,0.077392,0.514978,3517773.270000,0.024377,,83976684.00,83875459.00
sz.000005,2012-10-27,2012-09-30,-0.020494,-0.290024,0.053428,-13387604.400000,-0.017094,,914333607.00,913743007.00
sz.000006,2012-10-20,2012-09-30,0.114808,0.171684,0.399590,348124660.030000,0.389334,,1285709568.00,1265369042.00
sz.000007,2012-10-20,2012-09-30,0.038072,0.044999,0.484659,9680186.120000,0.070953,,230965363.00,184965363.00
sz.000008,2012-10-27,2012-09-30,0.001166,0.015367,0.324818,86158.950000,-0.000176,,73653208.00,73653118.00
sz.000009,2012-10-27,2012-09-30,0.021248,0.062853,0.362572,183749802.300000,0.089648,,1090750529.00,1079437690.00
sz.000010,2012-10-27,2012-09-30,-0.114588,-0.137893,0.368796,-9778290.570000,-0.005262,,147017448.00,67793846.00
sz.000011,2012-10-31,2012-09-30,0.143608,0.167717,0.465958,174644758.870000,0.205953,,595979092.00,145935270.00
sz.000012,2012-10-30,2012-09-30,0.058143,0.090469,0.225737,478856414.000000,0.226909,,2075335560.00,1301794715.00
sz.000014,2012-10-31,2012-09-30,-0.031855,-0.131734,0.592260,-15438724.220000,0.104876,,201705187.00,201705187.00
sz.000016,2012-10-26,2012-09-30,0.004207,0.001280,0.176491,15735213.860000,0.171147,,1203972704.00,599914960.00
sz.000017,2012-10-26,2012-09-30,,-0.242309,0.100922,-48148041.500000,-0.055024,,551347947.00,265445003.00
sz.000019,2012-10-23,2012-09-30,0.091827,0.462982,0.197759,85432983.970000,0.242822,,250900154.00,202727493.00
sz.000020,2012-10-27,2012-09-30,0.022463,0.011463,0.121759,6291595.020000,0.026849,,283161227.00,64675497.00
sz.000021,2012-10-29,2012-09-30,0.017769,0.001912,0.019515,23670837.070000,0.104714,,1319277781.00,1317894655.00
