code,pubDate,statDate,currentRatio,quickRatio,cashRatio,YOYLiability,liabilityToAsset,assetToEquity
sz.000001,2019-08-08,2019-06-30,,,,0.062086,0.928538,13.993469
sz.000002,2019-08-21,2019-06-30,1.119119,0.438709,0.123839,0.180119,0.852594,6.783988
sz.000004,2019-08-31,2019-06-30,4.839739,4.839739,3.782553,-0.805485,0.149427,1.175678
sz.000005,2019-08-29,2019-06-30,1.322965,0.983705,0.047225,-0.124417,0.436745,1.775393
sz.000006,2019-08-16,2019-06-30,2.007519,0.799547,0.726769,0.472542,0.584785,2.408388
sz.000007,2019-08-31,2019-06-30,3.396746,3.393603,0.310929,3.409121,0.519288,2.080249
sz.000008,2019-08-29,2019-06-30,1.948552,1.639052,0.256370,0.124579,0.289062,1.406592
sz.000009,2019-08-31,2019-06-30,1.800536,0.932728,0.473217,0.068228,0.653045,2.882219
sz.000010,2019-08-02,2019-06-30,1.120549,0.613923,0.099954,0.795745,0.770659,4.360310
sz.000011,2019-08-20,2019-06-30,2.337439,1.235806,0.759190,2.213678,0.624708,2.664590
sz.000012,2019-08-23,2019-06-30,0.809077,0.677655,0.339448,-0.234203,0.473594,1.899674
sz.000014,2019-08-29,2019-06-30,1.897673,0.319795,0.215056,0.190370,0.520660,2.086202
sz.000016,2019-08-07,2019-06-30,1.093682,0.838271,0.249259,0.440835,0.740805,3.858097
sz.000017,2019-08-29,2019-06-30,1.203966,1.141025,0.195899,-0.049340,0.754900,4.079963
sz.000019,2019-08-27,2019-06-30,3.783403,0.934163,0.177205,19.472080,0.307301,1.443628
sz.000020,2019-08-27,2019-06-30,1.110004,0.818414,0.161354,0.101057,0.476669,1.910835
sz.000021,2019-08-31,2019-06-30,1.114495,0.855365,0.625085,-0.030037,0.574390,2.349569
sz.000023,2019-08-27,2019-06-30,1.163881,0.911838,0.230472,0.185650,0.764671,4.249378
sz.000025,2019-08-30,2019-06-30,1.514996,1.483955,0.417445,0.230175,0.319769,1.470088
sz.000026,2019-08-15,2019-06-30,2.627754,0.845218,0.233751,-0.069713,0.266948,1.364160
sz.000027,2019-08-22,2019-06-30,0.930779,0.882749,0.169941,0.096701,0.665178,2.986664
sz.000028,2019-08-24,2019-06-30,1.537940,1.260025,0.460262,0.402435,0.565931,2.303782
sz.000029,2019-08-21,2019-06-30,2.498695,1.572724,0.716814,0.168183,0.342843,1.521705
sz.000030,2019-08-28,2019-06-30,1.514126,1.321576,0.298571,0.064103,0.410118,1.695253
sz.000031,2019-08-29,2019-06-30,1.521121,0.682494,0.337397,0.829967,0.786058,4.674171
sz.000032,2019-08-24,2019-06-30,2.906484,2.381737,1.565553,-0.120310,0.265465,1.361405
sz.000034,2019-08-31,2019-06-30,0.992264,0.610685,0.100766,0.055838,0.850460,6.687161
sz.000035,2019-08-31,2019-06-30,0.928466,0.874877,0.239058,5.071820,0.749287,3.988625
sz.000036,2019-08-31,2019-06-30,2.098976,1.268335,1.053537,0.089722,0.515516,2.064052
sz.000037,2019-08-16,2019-06-30,1.427094,1.327503,0.826821,0.164239,0.413086,1.703826
sz.000038,2019-08-24,2019-06-30,6.733668,6.428976,3.633486,0.016592,0.118796,1.134811
sz.000039,2019-08-28,2019-06-30,1.108889,0.666298,0.088999,0.137185,0.671774,3.046677
sz.000040,2019-08-31,2019-06-30,1.442623,1.138196,0.505848,0.314442,0.583446,2.400648
sz.000042,2019-08-16,2019-06-30,1.332748,0.401589,0.122515,0.051262,0.831139,5.922039
sz.000045,2019-08-21,2019-06-30,4.592050,3.630952,0.782118,-0.048111,0.166831,1.200237
sz.000046,2019-08-28,2019-06-30,1.515501,0.886886,0.208912,-0.126486,0.823824,5.676158
sz.000048,2019-08-31,2019-06-30,1.074307,0.666163,0.502711,0.206900,0.775297,4.450317
sz.000049,2019-08-13,2019-06-30,1.342876,0.968524,0.136062,0.069943,0.669605,3.026682
sz.000050,2019-08-21,2019-06-30,0.781175,0.629810,0.201740,0.098042,0.582546,2.395474
