code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
601900,南方传媒,0.51,,,13.78,,28777.64,,,01-20
300499,高澜股份,0.36,,,,,1820.94,,,01-20
001979,招商蛇口,,,,,,171909.43,,,12-28
002778,高科石化,0.43,,,8.21,,2841.67,,,12-16
002777,久远银海,0.5,,,12.88,,3000.57,,,12-16
002787,华源控股,0.52,,,,,5441.16,,,12-16
300491,通合科技,0.39,,,14.21,,2309.85,,,12-16
300490,华自科技,0.39,,,10.02,,2923.35,,,12-16
603778,乾景园林,0.4,,,6.35,,2381.49,,,12-16
300494,盛天网络,0.93,,,32.05,,8363.98,,,12-16
300492,山鼎设计,-0.02,,,,,-131.45,,,12-04
300497,富祥股份,0.81,,,,,4355.18,,,12-04
002786,银宝山新,0.44,,,7.58,,4224.77,,,12-04
002785,万里石,0.07,,,,,1104.5,,,12-04
603866,桃李面包,0.48,,,,,19341.52,,,12-04
300493,润欣科技,0.36,,,13.15,,3238.42,,,11-23
603696,安记食品,0.46,,,,,4097.98,,,11-23
603398,邦宝益智,0.55,,,21.67,,3961.06,,,11-23
300496,中科创达,1.34,,,34.93,,10027.26,,,11-23
002779,中坚科技,0.72,,,16.4,,4747.03,,,11-23
603885,吉祥航空,0.87,,,24.1,,43693.39,,,10-31
002759,天际股份,0.45,,,,,3261.47,,,10-31
603223,恒通股份,0.38,,,10.59,,3420.7,,,10-31
002746,仙坛股份,0.37,,,,,4387.88,,,10-31
002775,文科园林,0.59,,,,,5333.25,,,10-31
601211,国泰君安,0.64,,,10.79,,393349.94,,,10-30
603066,音飞储存,0.43,,,9.23,,3255.1,,,10-30
002755,奥赛康,0.2,,,,,1520.59,,,10-30
603198,迎驾贡酒,0.48,,,15.06,,34521.02,,,10-30
603355,莱克电气,0.71,,,19.73,,25505.25,,,10-30
002771,真视通,0.55,,,,,3319.86,,,10-30
603023,威帝股份,1.09,,,31.38,,6547.57,,,10-30
603158,腾龙股份,0.78,,,21.3,,6241.43,,,10-30
603300,华铁应急,0.41,,,10.96,,6240.82,,,10-30
002770,科迪乳业,0.37,,,,,7482.91,,,10-30
603618,杭电股份,0.44,,,9.29,,7594.0,,,10-30
603022,新通联,0.61,,,15.14,,3631.22,,,10-30
603116,红蜻蜓,0.61,,,14.19,,21283.42,,,10-30
002763,汇洁股份,0.8,,,,,13000.17,,,10-30
603703,盛洋科技,0.53,,,15.67,,3666.53,,,10-30
603616,韩建河山,0.61,,,16.32,,6714.12,,,10-30
603598,引力传媒,0.43,,,14.81,,4278.53,,,10-30
002760,凤形股份,0.39,,,,,2586.33,,,10-29
002748,世龙实业,0.77,,,,,6935.68,,,10-29
603589,口子窖,0.65,,,16.97,,35325.05,,,10-29
002766,*ST索菱,0.42,,,,,5746.82,,,10-29
603318,派思股份,0.22,,,7.49,,1970.15,,,10-29
002741,光华科技,0.51,,,,,4630.2,,,10-29
603979,金诚信,0.79,,,13.41,,22102.12,,,10-29
603315,福鞍股份,0.47,,,10.19,,3512.91,,,10-29
002758,华通医药,0.68,,,,,2858.81,,,10-29
603568,伟明环保,0.48,,,22.53,,19446.62,,,10-29
603968,醋化股份,0.57,,,17.31,,8710.33,,,10-29
601689,拓普集团,0.61,,,20.32,,31576.12,,,10-29
603026,石大胜华,0.49,,,7.69,,7519.04,0.56,,10-29
603989,艾华集团,0.66,,,18.55,,13343.11,,,10-29
300468,四方精创,0.62,,,,,4679.81,,,10-28
603025,大豪科技,0.47,,,22.38,,18414.09,,,10-28
603838,四通股份,0.42,,,12.05,,4203.17,,,10-28
603789,星光农机,0.83,,,22.68,,12444.29,,,10-28
002752,昇兴股份,0.23,,,,,8128.8,,,10-28
603818,曲美家居,0.39,,,12.24,,7122.77,,,10-28
002751,易尚展示,0.27,,,,,2875.32,,,10-28
000166,申万宏源,0.24,14.29,,,,325953.1,131.95,,10-28
603311,金海环境,0.25,,,14.8,,3958.65,,,10-28
603030,全筑股份,0.2,,,6.79,,2422.63,,,10-28
300476,胜宏科技,0.73,,,,,8034.92,,,10-28
603108,润达医疗,0.63,,,10.53,,4447.9,,,10-28
603669,灵康药业,0.49,,,23.76,,9463.73,,,10-28
603939,益丰药房,0.81,,,18.59,,9659.14,,,10-28
300427,红相股份,0.1,,,,,657.4,,,10-27
300486,东杰智能,0.13,,,,,1335.18,,,10-27
002765,蓝黛传动,0.32,,,,,5009.77,,,10-27
300456,耐威科技,0.28,,,,,1785.7,,,10-27
300461,田中精机,0.39,,,,,1967.83,,,10-27
002776,柏堡龙,1.06,,,,,8365.91,,,10-27
300394,天孚通信,1.11,,,,,6552.1,,,10-27
603085,天成自控,0.3,,,11.48,,2274.33,,,10-27
300448,浩云科技,0.16,,,,,948.4,,,10-27
002762,金发拉比,1.29,,,,,6591.13,,,10-27
603599,广信股份,0.91,,,9.89,,12830.32,,,10-27
300459,金科文化,0.36,,,,,2880.01,,,10-27
603309,维力医疗,0.72,,,16.42,,5399.83,,,10-27
002773,康弘药业,0.43,,,,,17039.86,,,10-27
603567,珍宝岛,0.75,,,14.35,,27050.78,,,10-27
002761,多喜爱,0.32,,,,,2875.87,,,10-27
300428,四通新材,0.7,,,,,4245.15,,,10-26
300446,乐凯新材,1.3,,,,,5995.03,,,10-26
603227,雪峰科技,0.27,,,6.6,,6616.15,,,10-26
300422,博世科,0.07,,,,,320.82,,,10-26
300467,迅游科技,0.38,,,,,4594.47,,,10-26
300426,唐德影视,0.15,,,,,1784.17,,,10-26
300479,神思电子,0.37,,,,,2218.36,,,10-26
