code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
603045,福达合金,0.62,266.88,5.49,12.05,0.1,4597.82,264.46,,04-25
603348,文灿股份,0.55,,,20.76,,7884.21,16.33,10派1,04-04
300782,卓胜微,-0.0,,0.07,-20.34,-0.06,-16.58,,,03-23
300504,天邑股份,0.2,-57.45,4.2,14.07,1.22,3963.36,20.84,,03-13
603680,今创集团,1.44,100.79,,30.15,1.34,51808.25,100.79,,01-31
603712,七一二,,,,15.86,,18705.33,-12.14,,01-30
002927,泰永长征,0.93,,,32.45,0.23,5555.8,,,01-30
603709,中源家居,,,5.88,70.04,5.22,2526.78,275.88,,01-25
603871,嘉友国际,,,8.74,24.35,0.99,5692.07,83.6,,01-23
603156,养元饮品,3.7,15.7,,62.51,5.12,183053.64,15.7,,01-22
300739,明阳电路,,,7.63,19.98,2.32,4516.58,,,01-15
603516,淳中科技,,,3.33,46.94,2.33,4456.06,12.99,,01-15
300737,科顺股份,0.24,9.09,3.71,35.96,0.17,7855.98,98.72,,01-08
300738,奥飞数据,0.12,-340.0,1.21,48.69,-0.02,399.67,-7835.2,,01-08
603895,天永智能,,,,51.92,-0.15,4737.18,0.86,,01-08
688196,卓越新能,0.56,-49.09,4.6,12.77,0.88,5049.2,-49.17,,01-03
603356,华菱精工,0.55,,2.0,29.46,0.61,5517.83,64.49,,01-03
603786,科博达,,,,44.84,3.52,33159.17,,,12-29
603327,福蓉科技,0.03,,0.9,3.33,-0.19,589.55,,,12-29
300798,锦鸡股份,,,,26.53,,7292.18,,,12-29
300765,新诺威,0.72,,3.58,21.24,0.62,10823.54,,,12-29
603530,神马电力,0.1,,,12.63,1.74,3928.36,,,12-29
603687,大胜达,,,2.4,2.43,0.55,1542.12,,,12-29
603982,泉峰汽车,0.56,,,15.03,,2788.42,,,12-29
603115,海星股份,0.41,,3.23,13.55,0.51,6387.02,,,12-29
601698,中国卫通,0.14,,,7.0,0.37,51293.12,,,12-29
002957,科瑞技术,2.74,,6.04,56.19,3.43,31969.59,,,12-29
600929,湖南盐业,0.22,,,12.58,0.45,16469.13,,,12-27
300736,百邦科技,0.72,-6.49,3.66,21.42,0.45,2877.45,-6.39,10派5,12-26
002925,盈趣科技,0.31,19.23,,64.07,1.36,11797.39,90.25,,12-26
002956,西麦食品,1.03,,,23.08,3.63,6040.99,,,12-22
300779,惠城环保,,,,-0.67,,-133.16,,,12-22
002923,润都股份,0.79,0.0,3.64,23.71,0.77,5951.99,0.27,,12-18
300770,新媒股份,,,,9.97,,1746.23,,,12-15
002951,金时科技,,,,34.92,,20187.34,,,12-15
002921,联诚精密,,,,15.44,0.71,4860.89,56.35,,12-13
002922,伊戈尔,0.29,-36.96,3.1,7.29,0.91,2609.16,-36.68,,12-12
603080,新疆火炬,0.96,47.69,1.78,50.76,0.86,8907.46,48.29,,12-12
603329,上海雅仕,,,,22.41,1.04,6684.79,17.78,,12-12
300735,光弘科技,,,,16.97,,6899.0,83.98,,12-11
603655,朗博科技,0.56,-1.75,3.28,18.57,0.47,3511.15,-1.86,,12-11
300684,中石科技,0.89,21.74,4.48,26.06,1.33,5523.02,26.95,,12-06
300733,西菱动力,0.45,28.57,3.25,14.88,0.56,5402.73,28.08,,12-06
603283,赛腾股份,1.19,466.67,11.12,140.81,12.34,13287.0,469.72,,12-05
002920,德赛西威,,,,29.07,,16552.51,64.34,,12-05
002918,蒙娜丽莎,0.68,21.43,,23.35,1.0,7695.05,20.37,,11-29
002919,名臣健康,,,3.14,19.32,0.43,3178.62,51.87,,11-29
603477,振静股份,0.18,,,14.48,-1.33,2518.87,,,11-28
300732,设研院,0.83,-67.32,27.97,9.08,1.76,3719.93,-67.46,,11-28
603161,科华控股,0.75,,,27.45,0.34,5969.55,78.11,,11-27
603351,威尔药业,1.54,,,20.52,1.49,4482.78,,,11-24
002950,奥美医疗,,,,33.79,0.86,19842.54,,,11-24
002917,金奥博,,,,25.13,,2904.9,100.56,,11-21
603890,春秋电子,,,1.97,33.25,0.64,5669.21,60.72,,11-21
300731,科创新源,0.93,2.2,1.83,64.17,0.73,5606.92,79.86,,11-20
300730,科创信息,0.2,17.65,1.69,12.43,0.54,1401.5,16.06,,11-14
603917,合力科技,0.71,44.24,3.22,24.33,0.27,5936.98,45.24,,11-14
002915,中欣氟材,0.43,-14.0,2.05,17.08,0.86,2809.82,-12.89,,11-14
603848,好太太,,,,41.47,,11178.82,32.76,,11-13
300729,乐歌股份,0.45,-23.73,3.38,14.11,0.42,2719.0,-22.82,,11-13
603711,香飘飘,0.51,0.0,5.02,26.42,1.22,18527.11,0.6,,11-13
002913,奥士康,,,,32.16,0.49,13165.83,98.43,,11-13
300789,唐源电气,0.6,,0.82,115.47,0.69,1202.99,,,11-10
300750,宁德时代,,,,23.72,,5442.58,,,11-10
002938,鹏鼎控股,,,,18.94,,141413.36,,,11-10
300727,润禾材料,,,,23.06,,3113.89,28.92,,11-07
002912,中新赛克,1.82,35.82,8.01,26.44,0.51,7833.65,36.82,,11-07
603685,晨丰科技,,,6.89,17.13,1.13,2711.26,-4.29,,11-06
603365,水星家纺,0.75,17.19,,20.58,-0.41,11529.25,16.69,,10-31
002911,佛燃能源,0.61,12.96,2.71,24.57,1.19,30539.12,13.8,,10-31
603661,恒林股份,1.62,100.0,,28.12,2.61,12180.02,101.4,,10-31
300726,宏达电子,2.38,48.83,8.33,32.19,0.86,14156.7,77.28,,10-31
600933,爱柯迪,,,,32.23,,25539.08,10.02,,10-30
603076,乐惠国际,1.01,6.32,3.16,37.87,1.28,5052.62,6.31,,10-30
300723,一品红,,,1.42,20.42,0.1,4031.01,22.18,,10-30
603970,中农立华,0.81,1.79,2.45,34.77,0.4,8071.89,17.45,,10-30
601019,山东出版,0.51,21.43,2.07,27.77,0.48,93696.13,27.67,,10-30
300725,药石科技,,,2.05,28.22,0.28,2247.15,23.15,,10-30
300722,新余国科,,,3.33,23.42,0.57,2225.72,25.37,,10-27
603605,珀莱雅,1.05,-11.76,,37.43,1.24,15821.62,-11.21,,10-25
002864,盘龙药业,0.62,21.57,,17.49,0.75,4007.24,21.82,,10-25
300717,华信新材,0.66,1.54,4.13,17.37,0.51,3167.86,1.3,,10-24
300721,怡达股份,0.43,-690.33,5.61,7.93,0.18,2128.44,-690.48,10派0.3,10-24
300720,海川智能,0.58,-24.68,3.29,18.84,0.8,3146.69,-24.44,,10-24
603083,剑桥科技,0.98,1860.0,6.07,17.59,4.06,7360.77,1793.89,,10-23
603278,大业股份,0.29,11.54,2.37,12.91,0.53,4477.34,10.22,,10-23
603916,苏博特,0.14,-93.97,3.92,4.89,0.22,2295.14,-87.63,,10-23
300772,运达股份,0.08,,2.68,3.23,4.32,1827.4,,,10-20
300719,安达维尔,,,16.19,19.67,1.4,4406.39,-34.25,,10-19
603809,豪能股份,1.73,30.31,,27.76,1.33,13641.78,29.21,,10-18
300716,国立科技,,,3.6,19.47,-0.58,3997.69,183.15,,10-18
603507,振江股份,0.13,,1.5,5.9,-0.18,813.34,-8.91,,10-17
300718,长盛轴承,1.12,8.74,5.22,23.74,1.2,8394.07,8.69,,10-16
603856,东宏股份,0.59,-38.54,,14.4,-0.12,8756.58,-37.28,,10-16
688368,晶丰明源,6.69,,17.3,47.8,1.41,6688.94,,,10-13
603068,博通集成,,,,45.72,,6610.09,,,10-13
300762,上海瀚讯,0.07,,3.05,2.25,-2.43,169.77,,,10-13
603937,丽岛新材,0.39,-7.14,,11.61,0.5,6087.61,-7.22,,10-12
603912,佳力图,0.42,,2.72,18.23,0.29,4240.57,10.23,,10-12
300712,永福股份,0.62,-8.82,2.52,29.48,0.46,6295.96,-2.36,,10-11
300711,广哈通信,0.48,118.18,1.69,24.38,0.54,4670.1,115.92,,10-11
300713,英可瑞,0.49,122.73,1.95,28.71,0.53,2091.04,123.6,,10-11
002910,庄园牧场,0.62,87.88,,14.0,2.36,6540.81,88.83,,10-10
603289,泰瑞机器,0.44,57.14,2.28,20.53,0.59,6667.15,58.35,,10-10
300715,凯伦股份,0.38,137.5,1.36,34.45,0.51,1765.12,155.57,,10-10
300778,新城市,,,6.79,-2.24,2.2,-460.38,,,09-29
603332,苏州龙杰,0.62,,4.9,13.09,1.32,5565.68,,,09-29
002947,恒铭达,1.07,,2.9,49.58,0.65,8108.6,,,09-29
002946,新乳业,0.12,,0.88,15.0,0.73,5911.1,,,09-29
002909,集泰股份,,,2.12,18.79,0.39,2762.28,-23.45,,09-28
603607,京华激光,,,16.6,29.21,6.52,5398.88,25.41,,09-28
603722,阿科力,0.44,193.33,2.38,23.05,0.28,2675.69,191.49,,09-27
300710,万隆光电,0.67,74.51,4.74,15.13,0.64,3246.04,74.52,,09-27
603396,金辰股份,0.61,-12.13,4.98,13.06,-0.58,3435.63,-3.02,,09-27
002907,华森制药,,,3.65,22.37,0.25,5875.47,102.97,,09-26
603683,晶华新材,0.74,7.32,,25.44,0.92,5899.35,10.86,,09-25
603466,风语筑,,,,25.82,,6455.77,207.22,,09-25
002908,德生科技,0.79,70.89,4.55,45.97,1.79,7861.28,73.91,,09-25
300766,每日互动,,,2.58,-232.38,-0.23,-758.99,,,09-22
300709,精研科技,,,9.53,29.38,1.49,3260.24,494.23,,09-21
300707,威唐工业,1.5,-1.36,1.91,34.85,0.78,3125.01,34.97,,09-20
603829,洛凯股份,0.41,13.89,2.05,22.28,0.32,4138.09,14.19,,09-20
002905,金逸影视,1.09,194.59,,34.09,4.58,13750.69,195.7,,09-20
300708,聚灿光电,0.33,375.14,1.83,19.36,0.43,5704.58,394.26,,09-19
002903,宇环数控,0.24,60.0,2.73,8.9,0.52,1804.08,65.46,,09-18
002906,华阳集团,0.6,-24.05,,11.31,,23879.24,-24.47,,09-18
603110,东方材料,0.73,19.67,,26.04,1.13,5585.67,18.59,,09-18
603499,翔港科技,,,6.64,27.33,0.8,5144.73,-13.44,,09-18
603103,横店影视,,,1.39,54.43,1.11,11852.39,478.87,,09-13
300706,阿石创,0.34,112.5,2.69,21.93,-0.16,1591.88,110.81,,09-13
603136,天目湖,0.95,86.27,,27.29,2.95,5692.68,85.1,,09-13
300705,九典制药,0.8,31.15,4.43,19.43,0.64,3779.26,49.57,,09-12
002902,铭普光磁,0.65,32.65,3.71,19.23,0.26,6827.44,33.22,,09-12
603367,辰欣药业,0.62,5.08,,12.0,0.08,22015.2,5.69,,09-11
601086,国芳集团,0.27,-15.63,1.7,16.46,0.12,13460.44,-15.92,,09-11
603378,亚士创能,0.68,74.36,,32.3,0.27,9868.24,88.89,,09-11
300703,创源文化,0.46,,1.82,28.95,0.77,2784.89,-15.42,,09-06
603157,拉夏贝尔,1.27,11.4,,30.79,1.7,50345.2,23.61,,09-05
002901,大博医疗,,,,47.8,,13928.96,43.88,,09-05
300654,世纪天鸿,0.3,-30.23,2.6,12.3,0.7,2109.06,-30.23,,09-05
603363,傲农生物,,,,32.49,-0.11,4274.51,71.04,,09-05
603922,金鸿顺,1.19,-10.53,4.33,22.15,1.52,11459.45,-16.73,,09-04
603963,大理药业,2.0,8.7,,27.99,1.92,10007.0,8.73,,09-04
002900,哈三联,0.95,35.71,3.85,29.1,0.73,14698.36,40.8,,09-04
603055,台华新材,0.17,-29.17,2.42,7.19,0.45,8064.03,-30.21,,09-01
603106,恒银金融,,,,19.65,,6372.46,9.11,,08-31
300701,森霸传感,0.5,4.17,2.11,25.91,0.6,2981.94,3.94,,08-31
300702,天宇股份,0.27,-27.03,5.07,5.26,0.89,2413.98,-28.13,,08-30
603533,掌阅科技,0.19,11.76,,43.14,0.22,5745.57,10.03,,08-30
603321,梅轮电梯,0.38,,1.45,32.8,0.33,8842.21,9.02,,08-28
002899,英派斯,,,,34.04,,7431.99,22.08,,08-28
603648,畅联股份,0.45,4.65,2.03,24.94,0.52,10527.84,12.77,,08-24
603386,广东骏亚,,,,28.86,,4334.76,85.37,,08-22
300700,岱勒新材,0.56,,2.7,23.46,-0.05,3365.67,30.15,,08-22
002898,赛隆药业,0.26,-38.72,1.31,22.82,0.48,2819.08,-38.55,,08-21
002897,意华股份,0.82,-9.89,4.89,18.25,1.14,6536.47,-9.93,,08-21
603882,金域医学,,,,12.24,,3125.6,-40.4,,08-21
603277,银都股份,0.36,-68.42,,45.32,1.26,12093.3,41.6,10派13.4,08-21
002896,中大力德,,,46.6,16.64,7.32,3539.91,1.23,,08-16
300697,电工合金,,,1.92,27.85,2.67,5596.31,29.12,,08-16
603527,众源新材,0.41,105.0,,14.97,0.89,3716.72,105.37,,08-16
300699,光威复材,0.18,-33.33,3.76,5.05,1.6,5101.99,-31.53,,08-15
603183,建研院,0.63,5.0,27.54,20.74,5.24,3768.97,4.18,,08-15
603500,祥和实业,,,,26.88,,4941.15,35.96,,08-15
300698,万马科技,0.05,-200.0,1.84,5.61,0.29,503.72,-318.87,,08-14
603079,圣达生物,0.73,-24.74,,14.45,0.57,4378.51,-19.8,,08-09
300696,爱乐达,0.69,72.5,3.25,22.94,0.47,3385.31,90.27,,08-09
603813,原尚股份,0.7,62.79,3.37,23.37,0.96,4225.35,63.21,,08-08
002895,川恒股份,,,,3.97,,5184.84,-95.18,,08-07
002893,华通热力,0.5,,2.52,21.65,0.81,4472.46,21.76,,08-07
300695,兆丰股份,2.0,92.31,9.14,24.6,1.87,10011.17,93.44,,08-07
603127,昭衍新药,0.8,122.22,2.59,34.91,1.34,4899.62,119.83,,08-07
300454,深信服,0.67,,2.7,27.32,1.12,23284.97,,,08-04
300811,铂科新材,0.88,,2.21,49.97,0.33,3180.84,,,08-04
603976,正川股份,0.85,25.0,5.43,16.58,0.95,6891.31,25.89,,07-31
002891,中宠股份,0.12,,,4.97,0.36,906.28,-43.51,,07-31
300693,盛弘股份,,,,38.45,,3123.33,41.81,,07-31
300692,中环环保,,,3.21,27.07,0.54,3184.71,24.12,,07-31
603129,春风动力,1.14,111.11,0.54,,0.51,9089.9,111.87,,07-31
603181,皇马科技,1.96,-13.66,11.99,15.99,0.91,8045.3,-13.67,,07-31
603181,皇马科技,1.96,-13.66,11.99,15.99,0.91,8045.3,-13.67,,07-31
603557,起步股份,,,,27.81,,10518.73,127.86,,07-31
601949,中国出版,0.33,-36.54,2.22,16.15,0.65,47672.28,-29.37,,07-31
300688,创业黑马,0.14,-566.67,,19.25,,715.81,-520.53,,07-27
300689,澄天伟业,0.51,30.77,3.81,14.32,0.84,2594.39,30.57,,07-27
300690,双一科技,1.18,87.3,4.63,28.7,1.34,6125.54,86.87,,07-26
603602,纵横通信,0.8,5.26,4.55,19.29,0.62,4800.14,5.36,,07-25
300691,联合光电,0.59,,,18.05,,3469.03,1028.48,,07-25
603721,中广天择,0.48,60.0,3.4,14.72,0.71,3594.96,59.8,,07-24
603359,东珠生态,0.8,6.67,4.71,18.65,-0.86,12588.62,6.66,,07-24
603619,中曼石油,0.17,21.43,1.93,7.89,0.75,6086.09,24.43,,07-24
603978,深圳新星,1.68,20.0,7.46,24.4,1.82,10069.26,19.85,,07-24
300687,赛意信息,,,1.5,35.48,-0.32,2595.75,44.85,,07-21
603458,勘设股份,1.62,-5.81,6.47,27.83,3.03,15080.96,-6.05,,07-20
002890,弘宇股份,0.54,-14.29,4.3,13.42,1.61,2693.93,-15.05,,07-20
300685,艾德生物,,,,35.17,,1913.89,-13.2,,07-20
300683,海特生物,1.59,31.4,7.04,28.96,1.78,10991.2,41.54,,07-19
603535,嘉诚国际,0.62,-3.13,,13.7,0.52,6990.1,-3.28,,07-19
603860,中公高科,0.98,-5.77,4.34,25.19,1.0,4908.86,-5.25,,07-19
603880,南卫股份,0.71,10.94,2.79,27.34,0.98,5338.02,11.11,,07-18
300686,智动力,0.63,-35.05,2.46,28.24,0.97,5936.26,-34.66,,07-17
603657,春光科技,,,,31.61,0.78,4734.89,,,07-14
603662,柯力传感,0.99,,7.95,12.3,1.06,9021.95,,,07-14
603185,上机数控,0.08,,2.93,2.85,0.06,778.18,,,07-14
603192,汇得科技,,,4.98,12.74,1.42,4703.98,,,07-14
603915,国茂股份,,,1.85,16.16,0.73,11018.46,,,07-14
603259,药明康德,0.51,,,20.82,4.6,46150.1,,,07-14
688202,美迪西,,,0.54,-14.37,0.53,-303.17,,,07-14
603121,华培动力,,,17.09,54.13,1.78,8797.0,,,07-14
603790,雅运股份,0.69,,,19.01,0.22,8602.34,,,07-14
