code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM,MBRevenue,totalShare,liqaShare
sz.000001,2019-03-07,2018-12-31,0.107415,0.212636,,24818000000.000000,1.445393,116716000000.000000,17170411366.00,17170246773.00
sz.000002,2019-03-26,2018-12-31,0.234175,0.165521,0.374816,49272294534.610000,3.059352,294416773766.720000,11039152001.00,9715170043.00
sz.000004,2019-04-26,2018-12-31,-0.169897,-0.058911,0.818792,-21612682.100000,-0.241386,365424447.970000,83976684.00,82933609.00
sz.000005,2019-04-25,2018-12-31,0.105847,0.322408,0.297082,156748626.080000,0.140580,469737792.400000,1058536842.00,1057946242.00
sz.000006,2019-03-30,2018-12-31,0.148612,0.367510,0.387866,923127396.150000,0.647590,2511844429.360000,1349995046.00,1347786178.00
sz.000007,2019-04-30,2018-12-31,-0.679362,-4.622583,0.693740,-196200201.490000,-0.566354,40366971.070000,346448044.00,308948044.00
sz.000008,2019-04-25,2018-12-31,0.045088,0.133295,0.489184,341889698.130000,0.115335,2564901269.620000,2818329809.00,2556585034.00
sz.000009,2019-04-30,2018-12-31,0.041632,0.056768,0.369968,665070544.330000,0.099463,11715547130.350000,2149344971.00,2119789066.00
sz.000010,2019-04-25,2018-12-31,-0.929688,-2.103332,0.132006,-726512624.650000,-0.892232,336452810.950000,819854713.00,522170348.00
sz.000011,2019-03-30,2018-12-31,0.189379,0.212634,0.528139,592661752.020000,0.994538,2787240632.530000,595979092.00,175862626.00
sz.000012,2019-04-17,2018-12-31,0.051586,0.044506,0.234636,472208588.000000,0.158198,10536501926.000000,2863277201.00,1777262473.00
sz.000014,2019-03-30,2018-12-31,0.179626,0.431711,0.295080,154522074.310000,0.723831,346065919.410000,201705187.00,201705187.00
sz.000016,2019-03-30,2018-12-31,0.051095,0.014495,0.062852,668618421.570000,0.170805,46126797341.330000,2407945408.00,1596574300.00
sz.000017,2019-04-20,2018-12-31,-0.105412,-0.015683,0.098706,-1880505.780000,-0.002887,119906950.340000,551347947.00,302981008.00
sz.000019,2019-04-27,2018-12-31,0.120455,0.029823,0.099003,320855724.380000,0.267524,10747576698.290000,1152535254.00,415964578.00
sz.000020,2019-04-30,2018-12-31,0.010223,0.005172,0.110440,3295022.720000,0.011637,637046707.030000,283161227.00,181165391.00
sz.000021,2019-04-20,2018-12-31,0.087308,0.035202,0.047006,565371989.010000,0.360285,15974039764.610000,1471259363.00,1469357064.00
sz.000023,2019-04-18,2018-12-31,0.062381,0.021806,0.130047,35136374.430000,0.189689,1611326480.810000,138756240.00,138756240.00
sz.000025,2019-04-02,2018-12-31,0.086343,0.207948,0.197691,86139979.360000,0.292396,414238778.960000,297281600.00,270881600.00
sz.000026,2019-03-15,2018-12-31,0.072978,0.054062,0.413663,183835095.290000,0.419002,3400450599.900000,438744881.00,356716368.00
sz.000027,2019-04-04,2018-12-31,0.030416,0.038666,0.266282,716386573.590000,0.174216,18527395542.000000,3964491597.00,3964491597.00
sz.000028,2019-04-25,2018-12-31,0.115226,0.031270,0.118228,1348431111.850000,2.827998,43122385521.230000,428126983.00,307744355.00
sz.000029,2019-03-29,2018-12-31,0.163460,0.229852,0.568595,499971564.960000,0.497696,2149857315.870000,1011660000.00,891660000.00
sz.000030,2019-04-30,2018-12-31,0.145354,0.111259,0.155321,873668594.330000,0.486944,7852536417.150000,1810552111.00,1756596338.00
sz.000031,2019-04-04,2018-12-31,0.191671,0.141956,0.425069,2004363639.060000,0.765697,13929649826.920000,1813731596.00,1813722808.00
sz.000032,2019-04-25,2018-12-31,0.075403,0.069828,0.221546,111771375.490000,0.258984,1600672541.750000,413219661.00,411283660.00
sz.000034,2019-03-27,2018-12-31,0.142504,0.006304,0.040271,516026502.550000,0.783414,81847909155.880000,654070434.00,357969933.00
sz.000035,2019-04-29,2018-12-31,0.069173,0.120364,0.363827,222297614.780000,0.160184,1846883070.120000,1351521423.00,1281089502.00
sz.000036,2019-04-30,2018-12-31,0.210050,0.309226,0.721157,1031137706.700000,0.848580,3334572281.030000,1141487712.00,1135398185.00
sz.000037,2019-03-28,2018-12-31,0.009782,0.006606,0.070445,12452824.750000,0.031943,1878841697.580000,602762596.00,338894012.00
sz.000038,2019-04-30,2018-12-31,-0.571356,-0.915704,0.074661,-2352749208.080000,-4.494575,2564552852.970000,522777419.00,178144491.00
sz.000039,2019-03-28,2018-12-31,0.096880,0.043514,0.148787,4068455000.000000,1.132489,93497622000.000000,2984988936.00,1267649801.00
sz.000040,2019-04-30,2018-12-31,0.086024,0.129829,0.141142,1126438186.610000,0.751733,8676289465.140000,1486873870.00,1060340595.00
sz.000042,2019-04-13,2018-12-31,0.065279,0.052247,0.470812,414949085.300000,0.671885,7942112442.450000,664831139.00,662051839.00
sz.000045,2019-04-27,2018-12-31,-0.009634,-0.048966,0.102256,-62302707.380000,-0.044948,1266481655.090000,511274149.00,457016599.00
sz.000046,2019-04-17,2018-12-31,0.046325,0.206318,0.504303,1033097635.060000,0.179138,12404075874.670000,5196200656.00,5078986496.00
sz.000048,2019-04-15,2018-12-31,0.549298,0.130796,0.428565,449539375.540000,1.119319,3436940910.610000,390768671.00,383620540.00
sz.000049,2019-04-30,2018-12-31,0.254401,0.030472,0.081983,525615431.190000,1.955577,17249233752.530000,205243738.00,205243738.00
sz.000050,2019-03-15,2018-12-31,0.045729,0.034031,0.151907,983879402.420000,0.451898,28527367958.250000,2048123051.00,1400988944.00
sz.000055,2019-01-30,2018-12-31,0.532637,0.736766,0.233128,2246164571.680000,1.943921,3048680152.060000,1123384189.00,678283904.00
sz.000056,2019-04-25,2018-12-31,0.017006,0.125025,0.632183,118662346.810000,0.077128,949111225.860000,1175345368.00,903733208.00
sz.000058,2019-04-30,2018-12-31,0.014717,0.014663,0.338399,23545650.740000,0.022541,1605787472.110000,1235656249.00,538024903.00
sz.000059,2019-04-20,2018-12-31,0.083314,0.030633,0.172135,1123735467.370000,0.659836,36683290538.290000,1599442537.00,1599439081.00
sz.000060,2019-03-30,2018-12-31,0.090512,0.045562,0.134964,909577971.950000,0.257709,19963409521.930000,3569685327.00,3568226095.00
sz.000061,2019-04-27,2018-12-31,0.008784,0.043538,0.370658,100225915.310000,0.025202,2301966628.620000,1696964131.00,1695421233.00
sz.000062,2019-03-28,2018-12-31,0.154378,0.065219,0.157426,769568971.870000,0.950442,11799716612.160000,721316774.00,720444832.00
sz.000063,2019-03-28,2018-12-31,-0.256072,-0.081266,0.329137,-6949340000.000000,-1.665683,85513150000.000000,4192671843.00,3433568341.00
sz.000065,2019-04-02,2018-12-31,0.150503,0.061896,0.148075,617804602.150000,0.765656,9981409795.740000,769505410.00,628943607.00
sz.000066,2019-04-30,2018-12-31,0.152863,0.105536,0.219272,1056365601.840000,0.336187,9107726123.840000,2936165560.00,2490717309.00
sz.000068,2019-04-20,2018-12-31,-0.225292,-0.678434,0.272818,-139688508.480000,-0.132005,186923252.090000,1006671464.00,1006671464.00
sz.000069,2019-03-30,2018-12-31,0.190496,0.234603,0.603492,11294328846.780000,1.290683,47475993256.480000,8204081415.00,6145851797.00
sz.000070,2019-04-16,2018-12-31,0.128256,0.054886,0.162961,313182375.190000,0.439638,5706001088.580000,626994746.00,600361604.00
sz.000078,2019-04-27,2018-12-31,0.072366,0.018065,0.131336,693348293.660000,0.156688,38094558666.930000,2646613257.00,1856654688.00
sz.000088,2019-04-03,2018-12-31,0.073033,1.268543,0.564122,511874685.360000,0.244385,403513948.860000,1942200000.00,1942200000.00
sz.000089,2019-03-30,2018-12-31,0.058579,0.189432,0.258848,681808889.620000,0.325735,3599235357.660000,2050769509.00,2050769509.00
sz.000090,2019-04-02,2018-12-31,0.102591,0.075947,0.216489,775380256.520000,0.543766,10209484122.160000,1437342642.00,1437250962.00
sz.000096,2019-04-04,2018-12-31,0.044372,0.067532,0.091704,111710380.350000,0.204035,1654195827.050000,528000000.00,510848000.00
sz.000099,2019-03-19,2018-12-31,0.049946,0.111618,0.238596,159154117.380000,0.248253,1410025225.770000,606070420.00,606070420.00
sz.000100,2019-03-20,2018-12-31,0.115144,0.035861,0.183085,4065198000.000000,0.255963,112282593000.000000,13549648507.00,11723995216.00
sz.000150,2019-04-26,2018-12-31,0.075653,0.091053,0.311081,200680127.910000,0.282992,2204000845.000000,626926827.00,575707316.00
sz.000151,2019-03-30,2018-12-31,0.083804,0.065648,0.164179,83421145.180000,0.281847,1240298067.540000,295980000.00,266543967.00
sz.000153,2019-04-26,2018-12-31,0.048564,0.020146,0.389499,60707441.730000,0.192150,2956773426.670000,317077630.00,311977230.00
sz.000155,2019-04-27,2018-12-31,0.095881,0.096191,0.119166,410931768.720000,0.236970,4272043399.910000,1270000000.00,937200000.00
sz.000156,2019-04-30,2018-12-31,0.061192,0.187482,0.406947,644188211.380000,0.449428,3435994345.950000,1433351902.00,1280295337.00
sz.000157,2019-03-30,2018-12-31,0.053309,0.068184,0.270885,1956630754.010000,0.258673,28696542909.990000,7808536633.00,6287907240.00
sz.000158,2019-04-30,2018-12-31,0.030758,0.018945,0.092372,182935850.980000,0.112515,9656109155.270000,1652874961.00,1624160620.00
sz.000159,2019-04-16,2018-12-31,0.028310,0.090507,0.206606,49833590.740000,0.124538,551449580.940000,481139294.00,481139294.00
sz.000166,2019-02-28,2018-12-31,0.066779,0.278045,,4247807755.030000,0.184602,15277425925.590000,22535944560.00,20028119193.00
sz.000301,2019-04-03,2018-12-31,0.102395,0.045911,0.138039,846604376.370000,0.210157,18440216490.640000,4029053222.00,1218236445.00
sz.000333,2019-04-20,2018-12-31,0.258030,0.083378,0.275356,21650419000.000000,3.036273,259664820000.000000,6663030506.00,6515855746.00
sz.000338,2019-03-26,2018-12-31,0.232251,0.073000,0.223348,11625733542.470000,1.082565,159255832286.920000,7997238556.00,4307203783.00
sz.000400,2019-03-29,2018-12-31,0.026047,0.033312,0.174145,273709728.340000,0.198012,8216558727.720000,1008327309.00,1008187054.00
sz.000401,2019-03-21,2018-12-31,0.120306,0.082974,0.306358,2559622052.760000,1.100708,30848580284.550000,1347522914.00,1347217526.00
sz.000402,2019-03-29,2018-12-31,0.106264,0.182581,0.485991,4037487439.770000,1.093559,22113354258.970000,2988929907.00,2987565716.00
sz.000403,2019-04-25,2018-12-31,0.132237,0.087155,0.533255,74939809.440000,0.293431,859843304.640000,272577599.00,265266687.00
sz.000404,2019-03-23,2018-12-31,0.022734,0.018381,0.120202,163785526.310000,0.103660,8811185684.510000,695995979.00,694636780.00
sz.000407,2019-04-18,2018-12-31,0.046121,0.038900,0.158060,181890213.330000,0.116501,4667856323.360000,880084656.00,769707942.00
sz.000408,2019-04-30,2018-12-31,0.121713,0.317160,0.683480,1299161849.820000,0.651608,3233666277.780000,1993779522.00,446632951.00
