code,pubDate,statDate,currentRatio,quickRatio,cashRatio,YOYLiability,liabilityToAsset,assetToEquity
sz.000001,2019-04-24,2019-03-31,,,,0.052665,0.928916,14.067937
sz.000002,2019-04-30,2019-03-31,1.159367,0.461109,0.129434,0.278008,0.847734,6.567468
sz.000004,2019-04-26,2019-03-31,4.535662,4.535662,3.278036,-0.740577,0.163786,1.195866
sz.000005,2019-04-25,2019-03-31,1.179386,0.849119,0.080925,-0.047049,0.471118,1.890779
sz.000006,2019-04-30,2019-03-31,1.943587,0.763586,0.600459,0.438023,0.527107,2.114643
sz.000007,2019-04-30,2019-03-31,3.154594,3.152104,1.380150,3.128245,0.487419,1.950911
sz.000008,2019-04-27,2019-03-31,2.022517,1.750023,0.263209,0.137743,0.294490,1.417415
sz.000009,2019-04-30,2019-03-31,1.659692,0.848012,0.451108,0.128887,0.656689,2.912812
sz.000010,2019-04-30,2019-03-31,1.125333,0.607612,0.045744,0.483803,0.757802,4.128850
sz.000011,2019-04-30,2019-03-31,2.681837,1.679977,1.135886,1.591229,0.587038,2.421527
sz.000012,2019-04-26,2019-03-31,0.834352,0.709171,0.393354,-0.112788,0.496195,1.984894
sz.000014,2019-04-26,2019-03-31,1.878361,0.327289,0.226528,0.357135,0.529244,2.124241
sz.000016,2019-04-30,2019-03-31,1.049453,0.793860,0.221973,0.756641,0.734678,3.769004
sz.000017,2019-04-30,2019-03-31,1.190543,1.126335,0.228465,-0.157390,0.766671,4.285797
sz.000019,2019-04-27,2019-03-31,3.441846,0.924994,0.216840,20.310195,0.293667,1.415763
sz.000020,2019-04-30,2019-03-31,1.102966,0.825730,0.141796,-0.085314,0.440624,1.787707
sz.000021,2019-04-30,2019-03-31,1.120543,0.883852,0.631679,-0.027004,0.583489,2.400897
sz.000023,2019-04-26,2019-03-31,1.158710,0.862928,0.232772,0.249906,0.763866,4.234885
sz.000025,2019-04-30,2019-03-31,1.385973,1.366699,0.204392,0.315290,0.313204,1.456035
sz.000026,2019-04-23,2019-03-31,2.614419,0.741913,0.156845,-0.167380,0.264788,1.360152
sz.000027,2019-04-30,2019-03-31,0.928844,0.876661,0.140001,0.109337,0.663880,2.975129
sz.000028,2019-04-25,2019-03-31,1.613853,1.306330,0.442676,0.229290,0.538011,2.164556
sz.000029,2019-04-19,2019-03-31,2.655448,1.550660,1.482059,0.045947,0.319528,1.469569
sz.000030,2019-04-30,2019-03-31,1.538226,1.360858,0.327523,0.178889,0.398740,1.663175
sz.000031,2019-04-30,2019-03-31,1.651601,0.805927,0.370743,0.891074,0.774587,4.436298
sz.000032,2019-04-25,2019-03-31,2.509990,2.096685,1.539575,0.043375,0.311315,1.452043
sz.000034,2019-04-29,2019-03-31,0.989097,0.608954,0.097733,0.065915,0.839455,6.228767
sz.000035,2019-04-29,2019-03-31,0.699216,0.656575,0.183621,5.810254,0.791695,4.800649
sz.000036,2019-04-30,2019-03-31,2.376137,1.433082,1.111366,0.092356,0.472682,1.896390
sz.000037,2019-04-23,2019-03-31,1.468686,1.354587,0.761702,-0.003161,0.366669,1.578952
sz.000038,2019-04-30,2019-03-31,5.712157,5.496544,2.841523,0.545074,0.134731,1.155710
sz.000039,2019-04-30,2019-03-31,1.119924,0.679213,0.135605,0.166218,0.666382,2.997437
sz.000040,2019-04-30,2019-03-31,1.590424,1.317885,0.535269,0.344479,0.570134,2.326305
sz.000042,2019-04-27,2019-03-31,1.481081,0.504174,0.170647,-0.018722,0.823930,5.679560
sz.000045,2019-04-27,2019-03-31,3.845523,3.251695,1.993705,0.373453,0.196870,1.245128
sz.000046,2019-04-30,2019-03-31,1.498586,0.896485,0.675701,-0.110623,0.824541,5.699339
sz.000048,2019-04-30,2019-03-31,1.070541,0.692849,0.659834,0.769022,0.769611,4.340490
sz.000049,2019-04-30,2019-03-31,1.340674,0.896230,0.123199,0.192765,0.674275,3.070074
sz.000050,2019-04-26,2019-03-31,0.805459,0.649390,0.235896,0.025683,0.570652,2.329112
sz.000055,2019-04-23,2019-03-31,1.196218,1.019332,0.369194,0.343621,0.533861,2.145285
sz.000056,2019-04-26,2019-03-31,1.538808,1.530660,0.322554,-0.115586,0.555627,2.250360
sz.000058,2019-04-30,2019-03-31,1.908931,0.821313,0.510640,-0.008987,0.618316,2.619967
