code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM,MBRevenue,totalShare,liqaShare
sz.000001,2017-03-17,2016-12-31,0.124283,0.209804,,22599000000.000000,1.316159,107715000000.000000,17170411366.00,14631180387.00
sz.000002,2017-03-27,2016-12-31,0.196815,0.117892,0.294144,28350255480.660000,1.904368,238400547992.110000,11039152001.00,9708107759.00
sz.000004,2017-04-11,2016-12-31,0.388437,0.138062,0.346221,39716316.220000,0.467979,286908026.580000,83976684.00,82961384.00
sz.000005,2017-04-27,2016-12-31,0.089385,0.242729,0.301622,116962419.870000,0.102649,481044483.160000,1058536842.00,913743007.00
sz.000006,2017-03-30,2016-12-31,0.165687,0.239333,0.291261,803876525.510000,0.576729,3358826445.850000,1349995046.00,1345151388.00
sz.000007,2017-04-19,2016-12-31,0.210954,2.099000,0.661915,81567961.100000,0.337795,31280116.080000,230965363.00,205965363.00
sz.000008,2017-04-01,2016-12-31,0.115699,0.282804,0.527716,530541641.360000,0.185778,1876006502.090000,2809078279.00,1495228561.00
sz.000009,2017-04-27,2016-12-31,0.052183,0.065424,0.306634,419482105.080000,0.108584,6411749425.420000,2149344971.00,2120065530.00
sz.000010,2017-04-22,2016-12-31,0.018164,0.036957,0.275515,38935297.020000,0.048639,1045492037.590000,819854713.00,407929925.00
sz.000011,2017-03-31,2016-12-31,0.157353,0.172327,0.576276,354857241.740000,0.595419,2059204077.180000,595979092.00,175862626.00
sz.000012,2017-04-28,2016-12-31,0.101707,0.089617,0.268759,804226524.000000,0.384382,8974083407.000000,2075335560.00,1304071902.00
sz.000014,2017-03-30,2016-12-31,0.039409,0.046899,0.209055,29112707.540000,0.141775,615281546.170000,201705187.00,201705187.00
sz.000016,2017-03-31,2016-12-31,0.033476,0.004541,0.137000,92175358.080000,0.039732,17167313167.210000,2407945408.00,1596593800.00
sz.000017,2017-04-27,2016-12-31,0.199255,0.027411,0.110778,3891579.730000,0.004722,141970520.800000,551347947.00,302980258.00
sz.000019,2017-04-24,2016-12-31,0.098222,0.329740,0.251423,90145526.080000,0.213942,272006653.370000,451620276.00,378152315.00
sz.000020,2017-04-25,2016-12-31,0.017296,0.008815,0.136362,5457710.330000,0.019274,619167770.740000,283161227.00,181165391.00
sz.000021,2017-03-31,2016-12-31,0.040989,0.014848,0.056719,223740673.660000,0.145741,15020584224.020000,1471259363.00,1469814362.00
sz.000023,2017-03-14,2016-12-31,0.025804,0.015672,0.129775,15828541.430000,0.071724,980790067.600000,138756240.00,138756240.00
sz.000025,2017-04-08,2016-12-31,0.030840,0.085177,0.293603,27617932.540000,0.091474,316404722.990000,297281600.00,193881600.00
sz.000026,2017-03-10,2016-12-31,0.047387,0.036867,0.407852,110374847.300000,0.252226,2970063248.200000,438744881.00,311070137.00
sz.000027,2017-04-08,2016-12-31,0.062192,0.124282,0.289318,1406635479.220000,0.339784,11318112180.400000,3964491597.00,3964491597.00
sz.000028,2017-04-19,2016-12-31,0.170691,0.031077,0.111524,1281880306.480000,3.272194,41248429322.910000,362631943.00,233261812.00
sz.000029,2017-03-30,2016-12-31,0.125239,0.132437,0.290549,311495750.100000,0.307976,2330953823.560000,1011660000.00,891660000.00
sz.000030,2017-04-28,2016-12-31,0.137285,0.115524,0.186089,676619091.910000,0.523264,5856937609.160000,1293251508.00,1247233636.00
sz.000031,2017-03-18,2016-12-31,0.121333,0.073978,0.342643,1333459035.570000,0.397057,17778934509.830000,1813731596.00,1813722958.00
