code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
600276,恒瑞医药,1.2,9.09,,24.02,,532802.75,31.05,10派2.3送2,03-23
000756,新华制药,0.48,20.0,,10.58,,29996.63,19.59,10派1.2,03-23
002913,奥士康,1.84,10.84,,11.62,,26751.2,11.98,,03-23
300554,三超新材,0.11,-73.46,,1.97,,985.46,-73.46,,03-23
603005,晶方科技,0.47,51.61,,5.61,,10830.5,52.27,10派1送2转2,03-23
300765,新诺威,1.46,-2.01,,13.77,,27319.71,22.05,,03-23
600176,中国巨石,0.61,-10.33,,14.34,,212886.53,-10.32,10派1.93,03-23
601601,中国太保,3.06,53.77,19.69,16.92,12.34,2774100.0,53.95,10派12,03-23
600750,江中药业,0.88,-21.43,,13.63,,46359.65,-1.41,10派3送2,03-21
601518,吉林高速,0.14,-26.32,,5.3,,18941.8,-22.27,,03-21
603806,福斯特,1.83,27.08,,16.24,,95706.28,27.39,10派5.5转4,03-21
000786,北新建材,0.26,-82.12,,3.15,,44114.43,-82.11,10派0.82,03-21
601898,中煤能源,0.42,61.54,,5.93,,562643.7,63.82,10派1.27,03-21
000877,天山股份,1.56,31.8,,18.19,,163575.89,31.8,10派5.1,03-21
000655,金岭矿业,0.3,78.52,,7.22,,17962.65,78.78,,03-21
002011,盾安环境,0.14,-105.93,,5.72,,13131.73,-106.06,,03-21
600508,上海能源,0.79,-14.13,,5.95,,57450.62,-13.13,10派2.39,03-21
600449,宁夏建材,1.61,79.54,,14.67,,76890.01,79.53,10派5.1,03-21
000416,民生控股,0.05,42.02,,3.25,,2839.75,42.11,10派0.3,03-21
002965,祥鑫科技,1.27,1.72,,15.59,,15124.73,7.36,,03-21
600313,农发种业,0.02,-42.66,,1.27,,1818.39,-42.64,,03-21
600585,海螺水泥,6.34,12.61,25.92,27.03,7.69,3359275.52,12.67,10派20,03-21
000619,海螺型材,0.03,19.26,,0.47,,1160.03,19.56,10派0.3,03-21
600062,华润双鹤,1.01,8.94,,12.87,,105512.37,8.93,10派3.04,03-21
600497,驰宏锌锗,0.15,24.78,,5.33,,77713.84,24.78,10派1.2,03-21
000613,大东海A,0.0,16.67,,0.97,,75.67,15.83,,03-21
000975,银泰黄金,0.44,31.28,,9.97,,86416.54,30.43,10派2,03-21
300142,沃森生物,0.09,-86.44,,3.01,,14197.45,-86.43,,03-21
002948,青岛银行,0.39,5.41,4.89,8.27,,228481.5,12.92,10派2,03-21
600299,安迪苏,0.37,5.71,,7.24,,99238.22,7.15,10派1.56,03-21
601899,紫金矿业,0.18,0.0,,11.38,,428395.74,4.65,10派1,03-21
002324,普利特,0.31,73.44,,7.05,,16488.63,128.0,10派1送3转3,03-21
600036,招商银行,3.62,15.65,22.89,16.84,0.18,9286700.0,15.28,10派12,03-21
600644,乐山电力,0.17,10.32,,6.18,,8923.49,10.31,,03-21
000670,*ST盈方,-0.25,15.94,,,,-20611.35,15.94,,03-20
000965,天保基建,0.17,90.0,,3.61,,18976.2,97.46,10派0.2,03-20
002861,瀛通通讯,0.59,11.32,,7.01,,7122.35,10.44,,03-20
600469,风神股份,0.37,1133.33,,9.85,,20622.35,1028.7,10派0.5,03-20
603327,福蓉科技,0.69,52.17,,26.43,,26303.54,65.11,10派2.5,03-20
002237,恒邦股份,0.34,-24.44,,6.77,,30553.6,-24.7,10派0.3,03-20
002916,深南电路,3.66,46.99,,29.11,,123277.55,76.8,10派11.5转4,03-20
000565,渝三峡A,0.15,50.0,,5.87,,6490.68,43.53,10派0.15,03-20
002756,永兴材料,0.95,-12.04,,10.2,,34356.78,-11.29,10派4.56,03-20
600030,中信证券,1.01,31.17,,7.76,,1222860.97,30.23,10派5,03-20
600354,*ST敦种,-0.32,-21.88,,-27.65,,-16995.39,-21.89,,03-20
603041,美思德,0.72,75.61,,9.44,,7204.07,76.47,10派2.2转4,03-20
603663,三祥新材,0.44,-20.0,,16.01,,8271.04,11.5,,03-20
600456,宝钛股份,0.56,70.11,,6.6,,24001.06,70.11,10派2,03-20
603727,博迈科,0.15,400.0,,1.46,,3465.42,384.49,,03-20
300795,米奥兰特,0.83,-8.79,,20.91,,6611.66,-3.3,,03-20
603385,惠达卫浴,0.89,36.92,,10.1,,32904.54,37.78,10派2.3,03-20
603938,三孚股份,0.72,-4.0,,9.79,,10766.63,-4.76,,03-20
002736,国信证券,0.56,47.37,,9.46,,491018.72,43.43,10派2,03-20
600022,山东钢铁,0.05,-72.51,,2.83,,57906.21,-72.51,,03-20
603613,国联股份,1.32,48.31,,22.21,,15894.21,69.34,,03-20
002419,天虹股份,0.72,-4.99,,12.87,,85930.48,-4.98,10派4.2,03-20
603267,鸿远电子,1.88,6.82,,16.62,,27866.88,27.62,,03-20
000037,深南电A,0.04,29.06,,1.25,,2490.1,29.33,10派0.2,03-20
000999,华润三九,2.16,47.95,,18.06,,211249.48,47.51,10派4.3,03-20
002553,南方轴承,0.12,-53.18,,6.03,,4220.97,-53.18,10派1,03-20
603727,博迈科,0.15,400.0,,1.46,,3465.42,384.49,,03-20
600022,山东钢铁,0.05,-72.51,,2.83,,57906.21,-72.51,,03-20
603385,惠达卫浴,0.89,36.92,,10.1,,32904.54,37.78,10派2.3,03-20
603938,三孚股份,0.72,-4.0,,9.79,,10766.63,-4.76,,03-20
002736,国信证券,0.56,47.37,,9.46,,491018.72,43.43,10派2,03-20
603613,国联股份,1.32,48.31,,22.21,,15894.21,69.34,10派1.15,03-20
002419,天虹股份,0.72,-4.99,,12.87,,85930.48,-4.98,10派4.2,03-20
300772,运达股份,0.4,-27.27,,8.09,,10657.56,-11.46,10派1.5,03-20
603267,鸿远电子,1.88,6.82,,16.62,,27866.88,27.62,,03-20
000037,深南电A,0.04,29.06,,1.25,,2490.1,29.33,10派0.2,03-20
000999,华润三九,2.16,47.95,,18.06,,211249.48,47.51,10派4.3,03-20
002553,南方轴承,0.12,-53.18,,6.03,,4220.97,-53.18,10派1,03-20
603360,百傲化学,1.64,110.26,,33.5,,30680.14,111.31,10派6转4,03-20
603933,睿能科技,0.15,-81.05,,2.91,,3012.3,-73.47,,03-20
002727,一心堂,1.06,15.91,,14.0,,60391.78,15.9,10派3,03-20
603595,东尼电子,-0.73,-190.12,,-17.41,,-14844.14,-228.65,,03-20
002379,宏创控股,0.35,3667.74,,22.86,,32458.38,3652.18,,03-20
600785,新华百货,0.81,32.79,,7.98,,18210.66,32.59,10派2,03-20
000401,冀东水泥,1.85,68.3,,16.5,,270058.78,82.07,10派5,03-19
600418,江淮汽车,0.06,-114.29,,0.82,,10601.5,-113.49,10派0.17,03-19
002801,微光股份,1.4,68.67,,17.53,,16530.78,69.94,10派3转3,03-19
600548,深高速,1.15,-27.33,,14.14,,249948.5,-27.34,10派5.2,03-19
000932,华菱钢铁,1.04,-53.74,,20.93,,439140.31,-35.23,10派2.5,03-19
300271,华宇软件,0.74,10.45,,11.07,,58038.99,16.61,10派0.72,03-19
601878,浙商证券,0.29,31.82,,6.75,,96755.71,31.29,10派0.9,03-19
000828,东莞控股,1.03,2.39,,15.56,,107388.35,2.39,10派3,03-18
002175,*ST东网,0.2,-131.66,,162.6,,15311.49,-131.67,,03-18
300738,奥飞数据,0.88,-3.3,,16.62,,10379.21,79.17,,03-18
000011,深物业A,1.37,37.98,,20.46,,81780.58,37.97,10派3.6,03-18
000050,深天马A,0.4,-11.96,,3.15,,82936.5,-10.39,10派0.8,03-18
000002,万科A,3.47,13.4,16.64,22.47,,3887208.69,15.1,10派10.45,03-18
002163,中航三鑫,0.06,50.0,,7.29,,5122.05,56.89,,03-18
300074,华平股份,0.03,25.36,,1.52,,1839.36,24.02,,03-18
600725,ST云维,0.01,-3.77,,4.27,,1259.86,-3.15,,03-18
603185,上机数控,1.05,-50.56,,11.39,,18531.34,-7.72,10派3.2转3,03-18
002845,同兴达,0.55,12.24,,9.19,,11055.37,12.71,,03-18
603712,七一二,0.45,50.0,,14.37,,34531.67,53.52,10派1,03-18
002182,云海金属,1.41,176.3,,40.66,,91037.04,176.29,10派1.5,03-18
002080,中材科技,0.82,13.62,,12.35,,137996.55,47.73,10派2.6,03-18
603678,火炬电子,0.84,13.51,,12.92,,38143.84,14.49,10派1.7,03-18
600051,宁波联合,1.03,28.75,,12.72,,32000.89,28.8,10派2,03-17
600982,宁波热电,0.11,-45.31,,3.75,,11915.46,-22.86,10派0.5,03-17
300483,沃施股份,0.72,703.33,,5.0,,7375.02,1213.95,10派0.55,03-17
600866,星湖科技,0.2,209.01,,11.08,,14955.24,253.72,,03-17
300204,舒泰神,0.06,-78.57,,1.36,,2729.94,-79.64,,03-17
000603,盛达资源,0.65,8.33,,22.13,,44843.63,8.91,10派1,03-17
600130,波导股份,0.04,0.0,,3.14,,2791.6,-15.67,,03-17
002507,涪陵榨菜,0.77,-8.33,,22.65,,60514.19,-8.55,10派3,03-17
300563,神宇股份,0.67,21.82,,10.61,,5363.96,21.53,10派2,03-17
002114,罗平锌电,0.08,-110.0,,1.65,,2556.54,-109.92,,03-17
300285,国瓷材料,0.52,-40.23,,14.64,,50056.33,-7.82,10派0.6,03-17
601882,海天精工,0.15,-21.05,,6.11,,7671.84,-24.42,10派0.45,03-17
002233,塔牌集团,1.46,0.81,,18.42,,173347.92,0.6,10派5.5,03-17
000868,*ST安凯,0.05,-104.0,,8.28,,3362.06,-103.76,,03-17
002138,顺络电子,0.5,-15.25,,9.36,,40169.0,-16.07,10派2,03-17
