code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM,MBRevenue,totalShare,liqaShare
sz.000001,2019-04-24,2019-03-31,0.030331,0.229277,,7446000000.000000,1.494955,,17170411366.00,17170246773.00
sz.000002,2019-04-30,2019-03-31,0.007153,0.066273,0.350440,3205934375.290000,3.079802,,11039152001.00,9715170043.00
sz.000004,2019-04-26,2019-03-31,0.047806,0.044749,0.766223,4785998.100000,-0.202214,,83976684.00,82933609.00
sz.000005,2019-04-25,2019-03-31,-0.011991,-0.214525,0.256226,-17959877.540000,0.108556,,1058536842.00,1057946242.00
sz.000006,2019-04-30,2019-03-31,0.017732,0.279760,0.392680,115678853.590000,0.517719,,1349995046.00,1347786178.00
sz.000007,2019-04-30,2019-03-31,0.045544,0.960453,0.671958,8873763.190000,-0.518372,,346448044.00,308948044.00
sz.000008,2019-04-27,2019-03-31,0.001604,0.034458,0.530718,10638768.500000,0.117329,,2780795346.00,2599124170.00
sz.000009,2019-04-30,2019-03-31,0.012517,0.083018,0.357719,185928494.840000,0.113818,,2149344971.00,2119789066.00
sz.000010,2019-04-30,2019-03-31,0.006848,0.099540,0.289853,19871132.260000,-0.831921,,819854713.00,522170348.00
sz.000011,2019-04-30,2019-03-31,0.023220,0.190826,0.488517,73648041.420000,1.036444,,595979092.00,175862626.00
sz.000012,2019-04-26,2019-03-31,0.014411,0.061159,0.230557,135938404.000000,0.148701,,2863277201.00,1777262473.00
sz.000014,2019-04-26,2019-03-31,-0.007671,-0.946817,0.293053,-6842309.150000,0.674735,,201705187.00,201705187.00
sz.000016,2019-04-30,2019-03-31,0.010487,0.014710,0.057213,158453415.080000,0.183184,,2407945408.00,1596574300.00
sz.000017,2019-04-30,2019-03-31,-0.025970,-0.022061,0.076968,-484332.040000,-0.003973,,551347947.00,302981008.00
sz.000019,2019-04-27,2019-03-31,0.028661,0.048332,0.101795,124242711.680000,0.264209,,1152535254.00,415964578.00
sz.000020,2019-04-30,2019-03-31,0.000797,0.001794,0.138609,258233.980000,0.011463,,283161227.00,181165391.00
sz.000021,2019-04-30,2019-03-31,0.016359,0.030828,0.059738,112240782.870000,0.372793,,1471259363.00,1469357064.00
sz.000023,2019-04-26,2019-03-31,0.033932,0.072575,0.157617,23366234.610000,0.332095,,138756240.00,138756240.00
sz.000025,2019-04-30,2019-03-31,0.017010,0.141693,0.237578,16927936.910000,0.298842,,297281600.00,270881600.00
sz.000026,2019-04-23,2019-03-31,0.024743,0.072039,0.403623,64359084.460000,0.425936,,442968881.00,356716368.00
sz.000027,2019-04-30,2019-03-31,0.014533,0.102400,0.281369,406026101.410000,0.251708,,3964491597.00,3964491597.00
sz.000028,2019-04-25,2019-03-31,0.025504,0.029010,0.109595,344620326.640000,2.845323,,428126983.00,307744355.00
sz.000029,2019-04-19,2019-03-31,0.024897,0.198044,0.523532,84076857.440000,0.586670,,1011660000.00,891660000.00
sz.000030,2019-04-30,2019-03-31,0.031783,0.085354,0.131228,200259187.850000,0.472804,,1810552111.00,1756596338.00
sz.000031,2019-04-30,2019-03-31,0.097369,0.214424,0.545939,1805222765.150000,0.420136,,3925870338.00,956368668.00
sz.000032,2019-04-25,2019-03-31,0.019911,0.067425,0.202904,26877378.400000,0.263766,,413219661.00,411283660.00
sz.000034,2019-04-29,2019-03-31,0.034982,0.006281,0.036755,136654319.840000,0.821263,,654070434.00,404996040.00
sz.000035,2019-04-29,2019-03-31,0.014315,0.030806,0.136332,100404529.780000,0.112081,,2438736365.00,1281089502.00
sz.000036,2019-04-30,2019-03-31,0.054927,0.329391,0.760107,292497954.320000,0.994554,,1141487712.00,1135398185.00
sz.000037,2019-04-23,2019-03-31,-0.014449,-0.224942,-0.040113,-34410524.570000,0.003000,,602762596.00,338894012.00
sz.000038,2019-04-30,2019-03-31,0.001487,0.007597,0.060566,4461261.810000,-4.585932,,522777419.00,194937905.00
sz.000039,2019-04-30,2019-03-31,0.010623,0.026787,0.134792,511627000.000000,1.118849,,2985111236.00,1267654101.00
sz.000040,2019-04-30,2019-03-31,0.001285,0.007518,0.103184,16721535.570000,0.035037,,1486873870.00,1060340595.00
sz.000042,2019-04-27,2019-03-31,0.031404,0.142620,0.579701,201817048.410000,0.620135,,664831139.00,662051839.00
sz.000045,2019-04-27,2019-03-31,0.004232,0.016145,0.067452,9571657.370000,-0.035627,,511274149.00,457016599.00
sz.000046,2019-04-30,2019-03-31,0.097487,3.193115,0.380062,2224078050.570000,0.288099,,5196200656.00,5175208333.00
sz.000048,2019-04-30,2019-03-31,0.103524,0.154462,0.413040,111201805.740000,1.433527,,390768671.00,383620540.00
sz.000049,2019-04-30,2019-03-31,0.038064,0.025867,0.073551,89532596.060000,1.915831,,205243738.00,205243738.00
sz.000050,2019-04-26,2019-03-31,0.011073,0.041791,0.138943,289479369.930000,0.374444,,2048123051.00,1819857609.00
sz.000055,2019-04-23,2019-03-31,0.013779,0.104405,0.303101,69998533.090000,1.974200,,1123384189.00,678283904.00
sz.000056,2019-04-26,2019-03-31,0.008780,0.275169,0.739326,59866801.230000,0.073735,,1175345368.00,903733208.00
sz.000058,2019-04-30,2019-03-31,0.031731,0.186906,0.357088,70293155.020000,0.020497,,1235656249.00,538024903.00
sz.000059,2019-04-23,2019-03-31,0.025835,0.042203,0.182597,363429274.520000,0.681291,,1599442537.00,1599439081.00
sz.000060,2019-04-29,2019-03-31,0.025027,0.064469,0.125495,264620649.940000,0.243757,,3569685327.00,3568226095.00
sz.000061,2019-04-27,2019-03-31,0.010280,0.102546,0.340630,63340662.930000,0.053400,,1696964131.00,1695421233.00
sz.000062,2019-04-24,2019-03-31,0.024931,0.052972,0.133149,137007123.130000,0.927923,,721316774.00,720444832.00
sz.000063,2019-04-30,2019-03-31,0.037007,0.049965,0.399719,1109306000.000000,-0.170254,,4192671843.00,3433568341.00
sz.000065,2019-04-30,2019-03-31,0.009069,0.025264,0.164151,39481590.160000,0.723936,,769505410.00,628943607.00
sz.000066,2019-04-30,2019-03-31,0.008274,0.030147,0.208223,57870720.350000,0.302263,,2936165560.00,2490717309.00
sz.000068,2019-04-30,2019-03-31,-0.056254,-1.429192,0.131627,-29914255.250000,-0.145929,,1006671464.00,1006671464.00
sz.000069,2019-04-26,2019-03-31,0.019895,0.157749,0.622337,1249342956.200000,1.300170,,8204081415.00,6997540490.00
sz.000070,2019-04-30,2019-03-31,0.015641,0.032254,0.145397,40227949.010000,0.416920,,626994746.00,600361604.00
sz.000078,2019-04-27,2019-03-31,0.021310,0.019168,0.117265,202135057.500000,0.142656,,2762583257.00,1856654688.00
sz.000088,2019-04-27,2019-03-31,0.006751,0.393729,0.378635,49784746.180000,0.238801,,1942200000.00,1942200000.00
sz.000089,2019-04-27,2019-03-31,0.014753,0.192109,0.286615,175611762.940000,0.333211,,2050769509.00,2050769509.00
sz.000090,2019-04-23,2019-03-31,0.007272,0.047389,0.211442,63559152.200000,0.550372,,1437342642.00,1437250962.00
sz.000096,2019-04-26,2019-03-31,0.004159,0.029152,0.093617,11156689.250000,0.197006,,528000000.00,510848000.00
sz.000099,2019-04-23,2019-03-31,0.007005,0.065210,0.198411,21652283.090000,0.259864,,606070420.00,606070420.00
sz.000100,2019-04-24,2019-03-31,0.025303,0.033988,0.174519,1006077530.000000,0.259524,,13549648507.00,12787780048.00
sz.000150,2019-04-30,2019-03-31,0.021748,0.104653,0.303847,54423589.920000,0.207195,,626926827.00,575707316.00
