code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
002976,瑞玛工业,0.81,,4.96,17.36,1.11,6055.69,,,02-17
688233,神工股份,0.63,18.87,,22.24,,7516.29,19.92,,01-31
601696,中银证券,0.31,14.81,,6.26,,77512.77,15.92,,01-31
300820,英杰电气,,,,,,8763.15,,,01-31
300819,聚杰微纤,0.6,-13.04,,10.47,,4451.21,-13.28,,01-31
603949,雪龙集团,0.62,3.33,,19.03,,6916.46,2.0,,01-21
300817,双飞股份,0.76,,,11.52,,4776.12,,,01-20
300816,艾可蓝,1.33,47.78,,33.93,,8007.94,48.0,,01-15
603719,良品铺子,0.87,81.25,,25.48,,31441.97,83.81,,01-14
002975,博杰股份,2.55,26.24,,29.23,,13275.05,28.51,,01-14
603893,瑞芯微,0.34,-2.86,,8.06,,12686.6,-2.27,,01-10
688298,东方生物,0.65,22.64,,27.39,,5835.29,22.49,,01-07
603195,公牛集团,3.25,58.54,,42.5,,175263.39,58.53,,01-07
688159,有方科技,0.43,16.22,,6.26,,2894.29,22.63,,01-06
300815,玉禾田,2.3,63.12,,29.83,,23922.94,63.37,,01-06
300813,泰林生物,0.65,-9.72,,12.22,,2533.14,-10.07,,12-31
688266,泽璟制药,,,,,,-39839.16,334.71,,12-31
688158,优刻得,,,,,,1076.04,-84.41,,12-30
603551,奥普家居,0.64,-4.48,,21.67,,22981.31,-4.04,,12-24
300812,易天股份,1.24,,5.85,24.09,0.74,7203.83,,,12-23
300811,铂科新材,1.49,29.57,,16.47,,6434.01,29.72,,12-17
002973,侨银环保,0.27,35.0,,12.64,,9960.61,32.74,,12-16
688090,瑞松科技,,,,,,4225.68,-1.88,,12-12
688086,紫晶存储,,,,,,4536.16,87.61,,12-12
603109,神驰机电,0.78,-19.01,,13.17,,8561.37,-19.01,,12-10
688268,华特气体,,,,,,6432.42,46.04,,12-04
688051,佳华科技,0.77,,6.96,13.84,-0.95,4249.09,,,12-03
601512,中新集团,0.78,36.84,,12.87,,105782.43,37.83,,12-03
002971,和远气体,0.53,,,11.44,,6405.99,,,12-02
002968,新大正,1.45,27.19,5.44,29.29,-0.87,7766.79,26.92,,12-02
300808,久量股份,0.57,5.56,5.39,11.24,0.2,6887.43,5.38,,11-28
300801,泰和科技,1.51,-0.66,9.49,17.29,1.17,13595.2,-0.78,,11-27
688037,芯源微,,,,,,,,,11-26
603053,成都燃气,,,,,,41382.45,4.63,,11-25
002970,锐明技术,1.7,88.89,,22.68,,11015.87,88.31,,11-25
688039,当虹科技,0.28,12.0,,4.24,,1659.68,12.22,,11-22
300798,锦鸡股份,0.23,0.0,2.71,9.02,0.06,8786.0,3.49,,11-21
688196,卓越新能,1.93,70.8,9.17,23.51,2.41,17355.91,71.19,,11-20
300810,中科海讯,0.89,85.42,,10.53,,5235.66,84.64,,11-19
688198,佰仁医疗,0.66,10.0,,21.58,,4770.93,29.5,,11-19
688138,清溢光电,0.28,27.27,2.93,9.91,0.42,5533.16,24.92,,11-19
688218,江苏北人,,,,,,3224.32,0.55,,11-18
688208,道通科技,,,,,,23752.45,-11.28,,11-18
688111,金山办公,0.57,-1.72,3.92,15.71,0.69,20441.13,-2.51,,11-15
688080,映翰通,,,,,,3993.79,34.81,,11-15
688399,硕世生物,1.13,26.97,,,,4977.22,26.53,,11-15
300803,指南针,0.36,24.14,2.28,17.14,0.19,12553.4,24.68,,11-15
688186,广大特材,,,,,,9267.86,2.88,,11-14
688357,建龙微纳,1.59,54.37,,27.51,,6874.25,87.73,,11-14
688258,卓易信息,,,,,,1919.67,-22.0,,11-14
688101,三达膜,0.91,62.5,6.57,14.9,0.81,22879.14,64.38,,11-14
688118,普元信息,-0.03,-83.5,,-0.61,,-190.23,-82.71,,11-14
300796,贝斯美,0.57,5.56,6.53,8.69,0.37,5154.94,4.22,,11-14
688300,联瑞新材,0.83,20.29,5.54,15.9,0.92,5341.31,25.61,,11-14
688200,华峰测控,,,,,,8137.09,2.2,,11-13
300809,华辰装备,1.0,25.76,,18.77,,11721.75,25.83,,11-13
300802,矩子科技,0.88,-8.33,5.71,15.75,1.11,6595.62,-8.2,,11-13
688358,祥生医疗,1.02,10.87,,29.84,,6109.36,10.62,,11-13
603995,甬金股份,1.38,5.34,,15.67,,23908.46,5.65,,11-12
688310,迈得医疗,0.26,52.94,,6.95,,1623.44,48.14,,11-12
002969,嘉美包装,,,,,,6358.45,14.48,,11-11
688169,石头科技,,,,,,58214.31,236.13,,11-11
688089,嘉必优,,,,,,9600.35,48.38,,11-11
688177,百奥泰,,,,,,-88409.8,143.79,,11-11
688278,特宝生物,,,,,,4208.45,8719.05,,11-11
603489,八方股份,2.66,48.6,7.34,43.85,1.55,23915.12,48.07,,11-08
300564,筑博设计,1.27,17.59,6.43,19.75,-0.52,9518.01,17.45,,11-07
002967,广电计量,0.28,16.67,3.46,8.47,-0.04,7004.1,18.31,,11-07
688166,博瑞医药,0.17,54.55,2.26,7.95,0.02,6377.03,54.15,,11-07
688181,八亿时空,,,,,,8843.71,-13.65,,11-06
688363,华熙生物,0.97,,4.97,21.59,0.48,41624.86,30.57,,11-05
603390,通达电气,0.39,0.0,,12.77,,10394.73,0.29,,11-05
300800,力合科技,2.94,16.67,11.56,28.69,1.56,17659.36,16.59,,11-05
688299,长阳科技,0.46,91.67,3.33,14.86,0.56,9763.53,90.93,,11-05
688021,奥福环保,0.68,13.33,6.31,11.42,0.41,3905.61,14.5,,11-05
688078,龙软科技,,,,,,3617.64,111.14,,11-05
688288,鸿泉物联,0.65,18.18,3.67,19.36,0.45,4902.48,19.08,,11-05
688389,普门科技,0.17,41.67,1.78,9.99,0.08,6610.13,47.36,,11-04
688023,安恒信息,-0.75,-23.47,8.37,-8.54,-1.8,-4150.47,-23.62,,11-04
688202,美迪西,1.0,7.53,8.48,12.58,0.62,4669.63,7.53,,11-04
300806,斯迪克,0.8,122.22,,9.78,,7040.24,122.74,,11-04
688128,中国电研,0.48,41.18,,,,17119.05,41.12,,11-04
300805,电声股份,0.39,11.43,,14.01,,14930.0,10.67,,11-04
688123,聚辰股份,,,,,,7625.11,16.97,,11-04
688199,久日新材,2.8,79.49,11.3,26.61,0.9,23143.58,86.67,,11-04
300821,东岳硅材,0.51,,2.24,24.13,0.51,45940.39,,,11-04
688398,赛特新材,,,,,,5657.72,77.18,,11-01
000662,天夏智慧,0.06,-48.27,,1.23,,7016.01,-48.27,,11-01
688026,洁特生物,,,,,,4373.5,31.9,,11-01
688100,威胜信息,,,,,,16243.58,42.51,,11-01
002368,太极股份,0.19,10.35,,2.67,,7618.31,9.58,,10-31
600644,乐山电力,0.31,20.6,,11.42,,16451.94,20.6,,10-31
000630,铜陵有色,0.07,4.76,,3.84,,69519.58,4.98,,10-31
601126,四方股份,0.15,-16.44,,3.01,,11828.14,-18.08,,10-31
002061,浙江交科,0.34,-54.12,,6.4,,46632.81,-52.08,,10-31
600663,陆家嘴,0.62,-3.27,,15.01,,249477.29,16.08,,10-31
002726,龙大肉食,0.2,17.65,,0.65,,15366.23,20.73,,10-31
600306,商业城,-0.44,-10.2,,,,-7781.16,-9.94,,10-31
600717,天津港,0.38,-2.56,,4.16,,67412.66,4.09,,10-31
002142,宁波银行,2.02,14.77,14.67,14.48,,1071191.8,20.04,,10-31
600363,联创光电,0.35,-11.69,,6.15,,15472.75,-11.69,,10-31
