code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
603609,禾丰牧业,,,,,,1637.74,,,07-18
603126,中材节能,,,,,,1745.82,,,07-15
300390,天华超净,,,,,,800.24,,,07-15
300384,三联虹普,0.16,,,,,650.14,,,07-15
300389,艾比森,0.33,,,7.95,,2100.33,,,07-15
601579,会稽山,,,,,,5869.03,-0.31,,07-15
603111,康尼机电,,,,,,-512.32,-117.41,,07-15
603100,川仪股份,0.07,,,,,1999.11,,,07-15
603099,长白山,,,,,,-1161.99,,,07-15
300391,康跃科技,0.13,,,3.65,,640.55,,,07-15
002728,特一药业,,,,,,2209.33,,,07-15
300387,富邦股份,0.24,,,,,1171.39,,,06-16
603168,莎普爱思,,,,,,2282.97,,,06-11
603369,今世缘,,,,,,31212.19,,,06-11
002727,一心堂,0.34,,,7.87,,6604.5,,,06-10
002726,龙大肉食,0.29,,,,,4801.9,,,06-10
603009,北特科技,,,,,,826.34,,,06-10
603328,依顿电子,,,,,,7544.42,,,06-10
300386,飞天诚信,,,,,,3289.73,,,06-10
603006,联明股份,,,,,,1721.81,,,06-10
300385,雪浪环境,,,,,,871.71,,,06-10
603288,海天味业,0.66,,,12.87,,46896.84,,,04-30
002721,金一文化,0.17,,,4.77,,2435.83,,,04-29
603308,应流股份,0.1,,,3.11,,3095.9,,,04-29
600023,浙能电力,0.13,,,3.53,,100101.28,,,04-29
002715,登云股份,0.11,,,2.48,,746.63,,,04-28
300378,鼎捷软件,-0.2,,,-3.31,-0.58,-1834.92,,,04-28
603026,石大胜华,,,,,,4000.0,,,04-28
002725,跃岭股份,0.38,,,6.88,,2869.53,,,04-28
002712,思美传媒,0.03,,,0.44,,189.73,,,04-28
002717,岭南股份,0.23,,,5.18,,1751.24,,,04-28
002723,金莱特,0.07,,,1.51,,471.44,,,04-28
002716,ST金贵,0.26,,,5.01,,4631.89,,,04-28
002722,金轮股份,0.08,,,2.7,,858.51,,,04-28
300369,绿盟科技,-0.4,,,-9.36,-0.88,-3016.84,,,04-26
300376,易事特,0.33,,,4.15,-0.63,2564.76,,,04-26
300373,扬杰科技,0.29,,,6.85,0.07,2023.77,,,04-25
603005,晶方科技,0.17,,,4.97,,3195.32,,,04-25
300379,东方通,-0.28,,,-8.34,-0.24,-1253.87,,,04-25
002708,光洋股份,0.13,,,2.95,,1343.47,,,04-25
300357,我武生物,0.18,,,8.51,0.09,1611.48,,,04-25
002707,众信旅游,0.28,,,6.92,,1439.18,,,04-25
300363,博腾股份,0.41,,,11.43,0.58,3972.43,,,04-25
300383,光环新网,0.3,,,5.3,0.14,1367.61,,,04-25
002713,东易日盛,-0.64,,,-20.47,,-6447.73,,,04-25
300377,赢时胜,-0.23,,,-6.76,-0.43,-1035.17,,,04-25
300368,汇金股份,0.07,,,1.4,-0.56,362.65,,,04-25
002705,新宝股份,0.05,,,1.8,,2146.24,,,04-25
300381,溢多利,0.3,,,4.7,-0.04,1165.35,,,04-25
002711,*ST欧浦,0.23,,,5.17,,2676.57,,,04-25
300359,全通教育,0.12,,,3.67,0.03,691.33,,,04-25
300380,安硕信息,0.05,,,1.6,-0.42,305.83,,,04-25
002719,麦趣尔,0.08,,,2.44,,654.32,,,04-24
300367,东方网力,0.07,,,1.45,-2.83,385.56,,,04-24
300366,创意信息,0.02,,,0.44,-0.93,77.83,,,04-24
300371,汇中股份,0.01,,,0.31,-0.29,55.05,,,04-23
002706,良信电器,0.2,,,2.85,,1299.96,,,04-23
300360,炬华科技,0.43,,,8.26,-0.79,3258.62,,,04-23
300358,楚天科技,0.63,,,12.19,0.08,4157.38,,,04-22
002718,友邦吊顶,0.08,,,1.73,,352.0,,,04-22
300382,斯莱克,0.29,,,5.85,0.88,1321.49,,,04-22
603555,贵人鸟,0.16,,,6.5,,8650.67,,,04-22
603699,纽威股份,0.16,,,9.94,,10880.59,,,04-21
300365,恒华科技,0.05,,,1.06,-0.47,189.45,,,04-18
002714,牧原股份,0.14,,,2.8,,2914.5,,,04-16
300375,鹏翎股份,0.31,,,4.73,0.11,2416.47,,,04-09
601878,浙商证券,,,,,,9324.51,,,10-18
002939,长城证券,0.04,,,1.64,,8820.96,,,09-17
603225,新凤鸣,,,,,,43.81,,,09-03
002797,第一创业,,,,,,4000.0,,,08-08
300593,新雷能,,,,,,128.0,-218.52,,08-01
002948,青岛银行,,,,,,28300.0,,,07-31
603299,苏盐井神,,,,,,3575.65,,,07-11
601228,广州港,,,,,,,,,07-03
601225,陕西煤业,,,,,,83710.38,,,06-06
002736,国信证券,,,,,,85799.03,,,05-10
600903,贵州燃气,,,,,,-2460.25,,,05-07
601615,明阳智能,,,,,,817.06,-110.13,,04-28
002709,天赐材料,,,,,,1320.57,55.91,,04-28
002941,新疆交建,,,,,,-19.24,,,04-28
603056,德邦股份,,,,,,3457.93,-58.99,,04-28
000333,美的集团,,,,,,102153.54,64.7,,04-28
601200,上海环境,,,,,,868.57,28.15,,04-28
002831,裕同科技,0.23,,,,,3379.62,12.25,,04-28
300388,国祯环保,,,,,,843.65,,,04-28
603786,科博达,,,,,,4738.46,106.05,,04-28
601968,宝钢包装,,,,,,2807.25,,,04-28
000680,山推股份,0.02,-67.14,,0.62,,2613.61,-47.89,,04-27
600307,酒钢宏兴,0.03,-29.3,3.07,1.05,0.03,18272.03,8.22,,04-27
000702,正虹科技,0.02,76.92,,1.3,,606.6,77.27,,04-27
600325,华发股份,0.11,-13.11,,1.3,-0.05,8668.27,-12.93,,04-27
600718,东软集团,0.04,-20.0,4.2,0.99,-0.68,5064.84,-8.48,,04-27
601899,紫金矿业,0.03,-32.65,1.32,2.52,0.03,71950.79,-32.75,,04-27
600345,长江通信,0.02,-60.0,6.05,0.37,-0.08,438.03,-58.18,,04-27
600734,实达集团,-0.04,-2.97,0.41,-8.47,0.66,-1260.56,-3.08,,04-27
000750,国海证券,0.05,-44.44,1.58,3.42,-0.09,9540.95,46.54,,04-27
600769,祥龙电业,-0.14,-9.92,-1.42,,-0.06,-5176.84,-9.93,,04-27
603399,吉翔股份,0.07,,4.04,1.8,-1.18,1818.47,,,04-27
000797,中国武夷,0.07,40.0,,2.05,,2585.44,37.95,,04-27
000008,神州高铁,0.03,-6600.0,,0.73,,394.94,-13820.75,,04-27
600426,华鲁恒升,0.1,27.5,5.89,1.74,0.45,9689.97,22.25,,04-27
600068,葛洲坝,0.13,4.13,3.7,3.47,0.07,44019.05,4.09,,04-27
000876,新希望,0.27,-15.63,,3.98,,46253.24,-16.81,,04-27
600103,青山纸业,0.0,-101.89,1.29,0.04,-0.02,48.87,-101.74,,04-27
600500,中化国际,0.13,8.33,4.7,2.75,-0.46,18411.85,9.31,,04-27
600860,京城股份,-0.04,122.22,1.35,-3.04,-0.06,-1762.85,137.67,,04-27
600518,ST康美,0.25,38.04,5.07,5.14,0.27,55788.68,37.9,,04-27
600876,洛阳玻璃,-0.05,-29.4,0.21,-21.3,-0.01,-2543.9,-29.43,,04-27
600158,中体产业,0.04,4862.5,1.58,2.55,-0.06,3352.85,4766.12,,04-27
600176,中国巨石,0.03,-60.91,4.2,0.65,0.0,2388.78,-41.42,,04-27
600592,龙溪股份,0.08,-17.0,4.37,1.93,-0.03,2491.16,-13.72,,04-27
601007,金陵饭店,0.02,-51.16,4.38,0.47,0.01,616.33,-52.17,,04-27
601107,四川成渝,0.08,-21.15,3.44,2.47,0.18,25644.66,-21.16,,04-27
600626,申达股份,0.08,0.51,2.93,2.73,-0.3,5621.3,0.58,,04-27
601186,中国铁建,0.13,30.0,5.97,2.22,0.11,162806.0,34.43,,04-27
600249,两面针,-0.07,-22.81,4.14,-1.56,-0.06,-2968.44,-22.83,,04-27
600645,中源协和,-0.02,-291.67,0.43,-5.35,-0.01,-763.75,-289.33,,04-27
601318,中国平安,0.93,20.78,21.28,4.5,7.67,739300.0,21.92,,04-27
000630,铜陵有色,0.11,-45.0,,1.45,,15844.67,-44.17,,04-27
600664,哈药股份,0.12,-949.65,4.27,2.85,0.06,23300.6,-951.38,,04-27
002493,荣盛石化,0.01,-97.22,,0.22,,1498.31,-96.27,,04-27
600036,招商银行,0.6,11.11,9.94,6.28,0.13,1302100.0,11.84,,04-27
600798,宁波海运,-0.02,-48.58,2.19,-0.99,0.11,-1893.62,-48.45,,04-27
000021,深科技,0.02,-28.61,,0.82,,3253.27,-28.75,,04-27
600817,ST宏盛,0.01,,0.74,,0.04,83.87,-25343.33,,04-27
000040,东旭蓝天,0.07,-41.67,,2.82,,3358.71,-38.03,,04-27
002219,恒康医疗,0.12,145.55,,8.25,,5023.21,185.16,,04-27
000066,中国长城,0.0,0.0,,0.14,,395.45,6.44,,04-27
000157,中联重科,0.08,-70.37,,1.39,,59179.49,-71.67,,04-27
000909,数源科技,0.02,0.0,,0.66,,428.73,30.46,,04-27
600870,ST厦华,0.0,-69.0,0.17,1.95,0.04,163.31,-39.71,,04-27
000413,东旭光电,0.16,221.93,,14.63,,6188.24,224.95,,04-27
600887,伊利股份,0.27,3.85,6.86,4.46,0.46,48719.41,18.61,,04-27
600960,渤海汽车,0.09,23.46,5.75,1.61,0.11,1490.16,25.56,,04-27
600568,中珠医疗,0.05,430.0,2.69,1.99,-0.04,1939.29,978.33,,04-27
000540,中天金融,0.23,101.6,,11.52,,28949.07,101.61,,04-27
600187,国中水务,0.03,0.59,2.76,1.25,0.01,1454.49,0.8,,04-27
600602,云赛智联,0.01,16.25,2.05,0.45,-0.03,1086.9,16.37,,04-27
601088,中国神华,0.56,-1.07,13.32,4.27,0.66,1106500.0,-1.06,,04-27
600639,浦东金桥,0.1,22.51,4.73,2.23,-0.14,9707.24,22.51,,04-27
601231,环旭电子,0.16,45.45,3.56,4.72,0.91,16641.43,56.81,,04-27
600657,信达地产,-0.04,-816.67,4.26,-1.01,-0.59,-6585.51,-854.71,,04-27
601398,工商银行,0.2,11.11,3.42,5.93,0.92,6874300.0,12.08,,04-27
000651,格力电器,0.45,15.33,,4.88,,133519.54,13.77,,04-27
600281,太化股份,-0.06,-1280.0,1.8,-3.24,-0.04,-3041.87,-1412.66,,04-27
600677,*ST航通,0.06,-23.19,3.26,1.74,-1.1,1837.57,-23.09,,04-27
600699,均胜电子,0.09,80.0,2.81,3.35,0.04,5437.01,161.55,,04-27
600323,瀚蓝环境,0.08,-38.46,3.99,1.94,0.21,4434.29,2.76,,04-27
600717,天津港,0.15,0.0,7.27,2.04,0.2,24565.37,-0.27,,04-27
601898,中煤能源,0.12,-40.0,6.65,1.9,0.08,165525.5,-37.23,,04-27
600363,联创光电,0.03,193.88,3.47,0.83,-0.08,1275.6,249.56,,04-27
600750,江中药业,0.27,22.73,6.7,4.09,0.15,8362.71,24.27,,04-27
600000,浦发银行,0.48,12.77,10.02,4.89,5.38,890300.0,12.78,,04-27
600381,青海春天,0.01,-45.38,1.13,0.58,0.02,1040.68,-6.99,,04-27
600425,青松建化,-0.15,650.0,7.61,-1.96,-0.2,-10392.59,1006.74,,04-27
000837,秦川机床,0.01,-27.27,,0.18,,195.26,-27.18,,04-27
600822,上海物贸,0.01,-57.19,1.97,0.7,-1.06,679.21,-57.25,,04-27
000088,盐田港,0.04,-25.05,,1.72,,7909.85,-2.56,,04-27
600859,王府井,0.48,3.9,13.27,3.68,0.12,22196.18,3.74,,04-27
000338,潍柴动力,0.41,-33.87,,3.22,,81337.07,-20.65,,04-27
600892,大晟文化,0.01,-55.88,0.04,31.01,-0.14,75.79,-55.77,,04-27
600556,ST慧球,-0.01,195.45,-0.08,,-0.01,-255.58,195.05,,04-27
600966,博汇纸业,0.0,-95.25,6.11,0.04,-0.31,137.32,-95.22,,04-27
000528,柳工,0.08,-38.46,,0.99,,9222.5,-37.51,,04-27
600175,美都能源,0.05,400.0,1.53,6.28,-0.11,6664.63,353.33,,04-27
000978,桂林旅游,-0.08,87.8,,-1.88,,-2766.56,85.79,,04-27
000546,金圆股份,-0.02,-119.02,,-2.03,,-301.06,-118.98,,04-27
001696,宗申动力,0.06,1.07,,2.28,,6707.04,1.11,,04-27
600590,泰豪科技,0.02,22.22,4.36,0.5,-0.17,1089.37,36.43,,04-27
600229,城市传媒,-0.17,112.5,2.48,-6.56,-0.06,-6674.91,105.18,,04-27
600624,复旦复华,0.02,15.67,1.69,0.92,-0.29,536.17,16.1,,04-27
300268,佳沃股份,-0.04,-130.0,3.6,,0.18,-477.11,-158.44,,04-27
601558,ST锐电,-0.06,-300.0,3.04,-2.03,-0.14,-24853.52,-537.88,,04-27
000659,珠海中富,-0.05,400.0,,-2.89,,-6047.2,301.16,,04-27
600287,江苏舜天,0.06,1144.23,2.05,3.21,0.3,2825.19,1152.83,,04-27
601818,光大银行,0.2,17.65,3.03,6.73,1.78,796400.0,16.1,,04-27
600329,中新药业,0.16,-20.0,3.05,5.4,0.1,11846.62,-19.96,,04-27
601919,中远海控,-0.19,-26.92,2.26,-8.23,-0.29,-198796.45,-26.25,,04-27
601999,出版传媒,0.03,0.0,3.12,1.02,-0.19,1751.35,0.97,,04-27
600369,西南证券,0.06,-14.29,4.54,1.27,0.31,13337.8,-16.88,,04-27
600200,江苏吴中,0.0,-80.0,1.49,0.09,-0.04,82.16,-75.95,,04-27
000573,粤宏远A,0.01,-15.7,,0.43,,633.72,-16.1,,04-27
600219,南山铝业,0.05,-50.0,8.71,0.54,-0.04,9091.97,-52.3,,04-27
