code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM,MBRevenue,totalShare,liqaShare
sz.000001,2017-04-22,2017-03-31,0.030319,0.224235,,6214000000.000000,1.323614,,17170411366.00,16917989651.00
sz.000002,2017-04-28,2017-03-31,0.006116,0.059667,0.298041,1109170821.050000,1.891883,,11039152001.00,9709067759.00
sz.000004,2017-04-29,2017-03-31,-0.009797,-0.155494,0.171983,-1689946.120000,0.482441,,83976684.00,82963684.00
sz.000005,2017-04-27,2017-03-31,-0.007938,-0.135855,0.340668,-9706812.750000,0.099497,,1058536842.00,951222460.00
sz.000006,2017-04-27,2017-03-31,0.020537,0.096408,0.226901,112595341.170000,0.617507,,1349995046.00,1344883896.00
sz.000007,2017-04-29,2017-03-31,0.000747,-0.362921,0.802736,-4227168.340000,0.305809,,230965363.00,205965363.00
sz.000008,2017-04-27,2017-03-31,0.001525,0.047270,0.392168,9570505.310000,0.184977,,2809078279.00,2010077670.00
sz.000009,2017-04-27,2017-03-31,0.007437,0.069608,0.331860,88168607.140000,0.110134,,2149344971.00,2120065529.00
sz.000010,2017-04-28,2017-03-31,-0.011580,-0.244390,0.223979,-25661183.720000,0.057420,,819854713.00,522171498.00
sz.000011,2017-04-29,2017-03-31,0.117746,0.290365,0.747318,301597814.360000,1.100505,,595979092.00,175862626.00
sz.000012,2017-04-28,2017-03-31,0.021545,0.077136,0.236715,176240910.000000,0.367660,,2075335560.00,1300128680.00
sz.000014,2017-04-26,2017-03-31,-0.004574,-0.034906,0.125821,-3387241.850000,0.149158,,201705187.00,201705187.00
sz.000016,2017-04-29,2017-03-31,0.009001,0.005540,0.141512,25959920.100000,0.047131,,2407945408.00,1596593800.00
sz.000017,2017-04-28,2017-03-31,0.014668,0.015365,0.113023,358045.980000,0.004842,,551347947.00,302980258.00
sz.000019,2017-04-24,2017-03-31,-0.009659,-0.185283,0.230482,-11072942.580000,0.205672,,451620276.00,378149615.00
sz.000020,2017-04-25,2017-03-31,0.001317,0.002196,0.099988,421173.370000,0.019102,,283161227.00,181165391.00
sz.000021,2017-04-29,2017-03-31,0.021430,0.035256,0.061381,121840581.230000,0.122428,,1471259363.00,1469819064.00
sz.000023,2017-04-27,2017-03-31,0.026827,0.039103,0.073793,8988305.990000,0.150657,,138756240.00,138756240.00
sz.000025,2017-04-28,2017-03-31,0.005008,0.044759,0.249537,3632060.150000,0.085866,,297281600.00,193881600.00
sz.000026,2017-04-19,2017-03-31,0.018913,0.055337,0.401592,45210493.660000,0.293406,,438744881.00,357047148.00
sz.000027,2017-04-28,2017-03-31,0.005184,0.042047,0.218352,107769550.160000,0.316615,,3964491597.00,3964491597.00
sz.000028,2017-04-29,2017-03-31,0.031744,0.028859,0.104129,295013138.030000,2.815829,,428126983.00,307744355.00
sz.000029,2017-04-26,2017-03-31,0.013009,0.127429,0.256627,34665451.870000,0.311419,,1011660000.00,891660000.00
sz.000030,2017-04-28,2017-03-31,0.041818,0.130231,0.178837,223784404.900000,0.573024,,1293251508.00,1245563089.00
