code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM,MBRevenue,totalShare,liqaShare
sz.000001,2013-10-23,2013-09-30,0.130164,0.313188,,11696000000.000000,1.812986,,8197360665.00,4968573875.00
sz.000002,2013-10-30,2013-09-30,0.093272,0.117908,0.321445,7477143891.720000,1.237684,,11013724969.00,9674941240.00
sz.000004,2013-10-26,2013-09-30,0.011400,0.140541,0.502100,7491610.260000,0.039452,,83976684.00,83875459.00
sz.000005,2013-10-30,2013-09-30,-0.043439,-0.905528,0.096361,-29000088.900000,0.007010,,914333607.00,913743007.00
sz.000006,2013-10-25,2013-09-30,0.099579,0.223411,0.455294,360670597.210000,0.470776,,1349995046.00,1335952936.00
sz.000007,2013-10-24,2013-09-30,0.134292,0.343420,0.764347,35857779.310000,0.160766,,230965363.00,184831640.00
sz.000008,2013-10-26,2013-09-30,0.030992,0.074609,0.444723,17024862.990000,0.102656,,303601640.00,147306236.00
sz.000009,2013-10-29,2013-09-30,0.098850,0.158342,0.369860,452337627.640000,0.328968,,1254363108.00,1241390885.00
sz.000010,2013-10-24,2013-09-30,0.025860,0.017565,0.325169,3714969.840000,0.025727,,588069788.00,271175384.00
sz.000011,2013-10-29,2013-09-30,0.211964,0.240434,0.571033,356260816.780000,0.934222,,595979092.00,175812811.00
sz.000012,2013-10-22,2013-09-30,0.090015,0.128927,0.294852,728650042.000000,0.240746,,2075335560.00,1303641590.00
sz.000014,2013-10-29,2013-09-30,-0.018400,-0.016812,0.349934,-6131482.630000,0.172848,,201705187.00,201705187.00
sz.000016,2013-10-30,2013-09-30,0.010241,0.002771,0.167165,40314219.870000,0.058589,,1203972704.00,599914960.00
sz.000017,2013-10-29,2013-09-30,,-0.134641,0.112753,-26958878.980000,-0.056645,,551347947.00,293012400.00
sz.000019,2013-10-24,2013-09-30,0.056123,0.158790,0.150173,55593402.390000,0.171847,,250900154.00,202727493.00
sz.000020,2013-10-28,2013-09-30,0.002880,0.001782,0.130274,808082.680000,-0.007916,,283161227.00,64675497.00
sz.000021,2013-10-31,2013-09-30,0.037537,0.009777,0.021716,108144839.370000,0.131941,,1319277781.00,1317832780.00
sz.000023,2013-10-30,2013-09-30,0.038534,0.011550,0.136892,8039718.830000,0.213617,,138756240.00,138756240.00
sz.000025,2013-10-30,2013-09-30,0.104155,0.051679,0.224944,18852145.770000,0.157792,,220281600.00,179294544.00
sz.000026,2013-10-24,2013-09-30,0.070888,0.045000,0.353853,104789975.830000,0.321048,,392767870.00,148092810.00
sz.000027,2013-10-25,2013-09-30,0.069891,0.128863,0.215081,1192610720.250000,0.457602,,2642994398.00,958349975.00
sz.000028,2013-10-24,2013-09-30,0.203590,0.025979,0.082623,407261904.900000,1.788662,,288149400.00,233261149.00
sz.000029,2013-10-23,2013-09-30,0.010083,0.035029,0.225552,16637932.180000,0.059289,,1011660000.00,891660000.00
sz.000030,2013-10-23,2013-09-30,0.222218,0.117167,0.183497,445831849.200000,0.025179,,1298695140.00,184976240.00
sz.000031,2013-10-29,2013-09-30,0.023670,0.064026,0.301273,283370408.660000,0.326244,,1813731596.00,1813720079.00
sz.000032,2013-10-29,2013-09-30,0.022571,0.023792,0.152186,27019007.190000,0.905385,,232864320.00,232826500.00
sz.000034,2013-10-23,2013-09-30,0.063598,0.015653,0.124491,5867107.890000,0.033759,,357973531.00,340064308.00
sz.000035,2013-10-22,2013-09-30,,27.695702,0.106351,1133386638.180000,3.196243,,188953707.00,188953707.00
sz.000036,2013-10-28,2013-09-30,0.034556,0.687876,0.505593,96489792.650000,0.070194,,1123887712.00,1123887712.00
sz.000037,2013-10-25,2013-09-30,-0.135668,-0.243959,-0.614744,-230037800.650000,-0.334556,,602762596.00,338894012.00
sz.000038,2013-10-19,2013-09-30,-0.014747,-0.028760,0.200895,-2186981.740000,-0.021417,,96227998.00,24881998.00
sz.000039,2013-10-30,2013-09-30,0.049293,0.030420,0.158338,1252976000.000000,0.500148,,2662396051.00,1231544516.00
sz.000040,2013-10-26,2013-09-30,0.073057,0.185027,0.441147,88254822.710000,0.323428,,469593364.00,464081902.00
sz.000042,2013-10-22,2013-09-30,0.083431,0.272399,0.532276,241686328.230000,1.185515,,239463040.00,239395328.00
sz.000045,2013-10-25,2013-09-30,0.004167,0.008954,0.063767,7417008.240000,-0.025294,,506521849.00,287021849.00
sz.000046,2013-10-26,2013-09-30,0.044838,0.147544,0.558464,377726470.720000,0.203109,,4557311768.00,4546118928.00
sz.000048,2013-10-29,2013-09-30,0.088298,0.035387,0.106007,41408224.510000,0.149623,,390768671.00,379858689.00
sz.000049,2013-10-22,2013-09-30,0.281144,0.065959,0.166988,152583417.900000,1.297939,,136829160.00,136829160.00
sz.000050,2013-10-28,2013-09-30,0.084319,0.065657,0.169844,229613650.000000,0.198303,,574237500.00,574220625.00
sz.000055,2013-10-23,2013-09-30,0.050833,0.045965,0.195432,54168780.290000,0.083609,,756909905.00,420854275.00
sz.000056,2013-10-29,2013-09-30,2.148740,237.037074,0.169784,4041534196.490000,10.834996,,220901184.00,119212992.00
sz.000058,2013-10-28,2013-09-30,0.045928,0.151229,0.233167,68696179.090000,0.072066,,784799010.00,538302228.00
sz.000059,2013-10-24,2013-09-30,-0.074839,-0.017371,0.096176,-535776098.350000,0.043648,,1200506367.00,1200500223.00
sz.000060,2013-10-30,2013-09-30,0.030680,0.013602,0.106114,132348148.920000,0.144603,,2062940880.00,2061023441.00
sz.000061,2013-10-26,2013-09-30,0.014850,0.080872,0.387913,134761445.540000,-0.002392,,1696964131.00,1368318665.00
sz.000062,2013-10-17,2013-09-30,0.072501,0.115583,0.471992,110894136.130000,0.472712,,666949797.00,666942297.00
sz.000063,2013-10-23,2013-09-30,0.025582,0.010615,0.287100,580180000.000000,-0.171314,,3437541278.00,2800228693.00
sz.000065,2013-10-29,2013-09-30,0.066712,0.042405,0.076738,41619063.470000,0.643731,,211168256.00,211168256.00
sz.000066,2013-10-31,2013-09-30,-0.004844,-0.012196,0.084838,-690688059.680000,-0.199625,,1323593886.00,574207920.00
sz.000068,2013-10-26,2013-09-30,-0.124934,-0.045150,0.021658,-27398869.980000,-0.014570,,896671464.00,896667999.00
sz.000069,2013-10-22,2013-09-30,0.137533,0.187555,0.553915,3232791142.020000,0.707076,,7271498566.00,3113261421.00
sz.000070,2013-10-30,2013-09-30,0.057766,0.051637,0.190011,56086309.680000,0.226554,,271000000.00,237520956.00
sz.000078,2013-10-29,2013-09-30,0.050620,0.017790,0.146214,105215784.950000,0.078385,,731713855.00,651564483.00
