code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM,MBRevenue,totalShare,liqaShare
sz.000001,2012-04-26,2012-03-31,0.045681,0.359474,,3495486000.000000,2.206637,,5123350416.00,3105358672.00
sz.000002,2012-04-24,2012-03-31,0.026013,0.147937,0.417906,1530546766.230000,0.892723,,10995210218.00,9661828366.00
sz.000004,2012-04-21,2012-03-31,0.000112,0.085267,0.458868,1162250.190000,0.033683,,83976684.00,83875459.00
sz.000005,2012-04-24,2012-03-31,-0.018699,-0.957003,0.306558,-12225578.780000,0.005994,,914333607.00,913743007.00
sz.000006,2012-04-19,2012-03-31,0.027711,0.184448,0.443105,84372375.930000,0.465529,,989007360.00,967848273.00
sz.000007,2012-04-20,2012-03-31,0.001762,0.008645,0.694746,372581.110000,0.027035,,230965363.00,184965363.00
sz.000008,2012-04-27,2012-03-31,-0.000390,-0.014765,0.356168,-28784.050000,-0.003996,,73653208.00,73653118.00
sz.000009,2012-04-26,2012-03-31,0.012301,0.105153,0.395119,77663003.490000,0.182776,,1090750529.00,1079437690.00
sz.000010,2012-04-27,2012-03-31,-0.039215,-0.230793,0.447984,-4020017.770000,0.040553,,147017448.00,67793846.00
sz.000011,2012-04-25,2012-03-31,0.004820,0.044510,0.320780,5460610.060000,-0.036383,,595979092.00,145154685.00
sz.000012,2012-04-24,2012-03-31,0.017390,0.094339,0.191830,143684132.000000,0.425926,,2075837060.00,1289832184.00
sz.000014,2012-04-26,2012-03-31,-0.004510,-0.021774,0.655853,-971588.620000,0.309264,,201705187.00,201705187.00
sz.000016,2012-04-27,2012-03-31,0.002585,0.003022,0.194197,10504070.790000,0.093197,,1203972704.00,599908360.00
sz.000017,2012-04-21,2012-03-31,,-0.376751,0.123073,-15778280.100000,0.065464,,551347947.00,193773360.00
sz.000019,2012-04-27,2012-03-31,-0.004113,-0.056167,0.188187,-3652633.040000,0.046406,,250900154.00,141233241.00
sz.000020,2012-04-26,2012-03-31,0.016931,0.021996,0.121191,4728832.800000,0.041549,,283161227.00,64675497.00
sz.000021,2012-04-27,2012-03-31,0.011200,0.007202,0.023137,29087592.540000,0.192476,,1319277781.00,1317894655.00
sz.000023,2012-04-26,2012-03-31,-0.027852,-0.065020,0.092167,-9421998.390000,-0.013276,,138756240.00,105717396.00
sz.000025,2012-04-25,2012-03-31,-0.012567,-0.026617,0.177119,-2552263.310000,-0.001905,,220281600.00,179294544.00
sz.000026,2012-04-17,2012-03-31,0.025169,0.047550,0.335326,35068963.480000,0.409638,,392767870.00,148092810.00
sz.000027,2012-04-25,2012-03-31,0.015485,0.099180,0.141642,301013302.940000,0.404928,,2642994398.00,2642994398.00
sz.000028,2012-04-23,2012-03-31,0.086464,0.028728,0.092247,122802730.380000,1.266468,,288149400.00,233259086.00
sz.000029,2012-04-19,2012-03-31,0.014314,0.094683,0.299393,22087227.810000,0.099071,,1011660000.00,891660000.00
sz.000030,2012-04-18,2012-03-31,-0.397309,,,-676708.760000,5.048519,,288420000.00,95315577.00
sz.000031,2012-04-24,2012-03-31,0.011757,0.134481,0.366968,112871285.960000,0.231750,,1813731596.00,1813720079.00
sz.000032,2012-04-27,2012-03-31,-0.013902,-0.065526,0.127566,-13828350.470000,0.033720,,232864320.00,232819164.00
sz.000034,2012-04-17,2012-03-31,-0.010620,-0.008929,0.127865,-901134.830000,0.028403,,357973531.00,340063207.00
sz.000035,2012-04-24,2012-03-31,,6.515495,0.679334,9377938.640000,-0.114734,,150006560.00,85392560.00
sz.000036,2012-04-26,2012-03-31,0.020386,0.319891,0.689319,50542576.660000,0.071380,,1123887712.00,1123887712.00
sz.000037,2012-04-25,2012-03-31,-0.039787,-0.189643,-0.547808,-82080459.650000,0.048058,,602762596.00,338894012.00
sz.000038,2012-04-26,2012-03-31,-0.015319,-0.280099,0.143555,-2612439.770000,0.037055,,96227998.00,24881998.00
sz.000039,2012-04-25,2012-03-31,0.019977,0.033211,0.155598,410218000.000000,1.017122,,2662396051.00,1231542716.00
sz.000040,2012-04-26,2012-03-31,0.052880,0.250398,0.699943,54166058.590000,0.198196,,469593364.00,464133538.00
sz.000042,2012-04-21,2012-03-31,0.079230,0.228486,0.586821,209944843.740000,1.578664,,239463040.00,239395328.00
sz.000045,2012-04-26,2012-03-31,0.006232,0.044997,0.129876,8604015.850000,0.128752,,336521849.00,233258409.00
sz.000046,2012-04-27,2012-03-31,-0.002100,-0.085470,0.536900,-17955560.610000,0.060825,,4557311768.00,4546118928.00
sz.000048,2012-04-26,2012-03-31,0.009311,0.005456,0.089008,1459362.650000,1.239921,,390768671.00,379858689.00
sz.000049,2012-04-26,2012-03-31,0.108648,0.063690,0.186778,46238514.010000,0.969861,,136829160.00,136786973.00
sz.000050,2012-04-24,2012-03-31,-0.005491,-0.013138,0.091390,-12918597.570000,0.149856,,574237500.00,574215000.00
sz.000055,2012-04-20,2012-03-31,0.008495,0.031014,0.203807,7248297.010000,0.076398,,756909905.00,420854275.00
sz.000056,2012-04-20,2012-03-31,,-2.815851,0.148008,-10362257.140000,-0.547933,,220901184.00,119212992.00
sz.000058,2012-04-25,2012-03-31,0.014309,0.175651,0.309972,19477485.720000,0.094068,,784799010.00,538302228.00
sz.000059,2012-04-18,2012-03-31,0.022684,0.017645,0.146764,171761191.980000,0.504717,,1200506367.00,1200506367.00
sz.000060,2012-04-27,2012-03-31,0.016858,0.036145,0.142951,124903355.220000,0.451227,,2062940880.00,2061059008.00
sz.000061,2012-04-27,2012-03-31,0.013441,0.174685,0.377865,76287431.020000,0.303471,,768507851.00,760797995.00
sz.000062,2012-04-25,2012-03-31,0.001175,0.011062,0.572425,2336805.570000,0.050855,,666949797.00,166929129.00
sz.000063,2012-04-26,2012-03-31,0.006212,0.011418,0.282717,212518000.000000,0.605728,,3440078020.00,2793036600.00
sz.000065,2012-04-27,2012-03-31,-0.000094,-0.021584,0.059715,-762840.830000,0.421545,,162437120.00,162437120.00
sz.000066,2012-04-27,2012-03-31,0.001178,0.003805,0.073932,59451608.250000,0.038484,,1323593886.00,574160070.00
sz.000068,2012-04-20,2012-03-31,0.030733,4.324217,0.497308,7080526.950000,-0.022774,,896671464.00,896667999.00
sz.000069,2012-04-21,2012-03-31,0.017706,0.107915,0.509115,274163561.810000,0.573364,,5593460436.00,2371216200.00
sz.000070,2012-04-26,2012-03-31,0.013848,0.031781,0.152316,10741486.730000,0.160367,,250000000.00,237694361.00
sz.000078,2012-04-26,2012-03-31,0.030074,0.023215,0.137224,38385126.180000,0.080876,,652510385.00,651564483.00
sz.000088,2012-04-23,2012-03-31,0.017191,1.119560,0.592258,89392517.720000,0.249619,,1494000000.00,1493888885.00
sz.000089,2012-04-20,2012-03-31,0.026474,0.348933,0.505398,185123436.160000,0.394881,,1690252526.00,1690193740.00
sz.000090,2012-04-21,2012-03-31,0.032688,0.157566,0.232861,100166740.460000,0.394586,,456637020.00,456633151.00
sz.000096,2012-04-27,2012-03-31,-0.005439,-0.035106,0.054251,-9659336.320000,0.167780,,528000000.00,510848000.00
sz.000099,2012-04-24,2012-03-31,0.021288,0.154641,0.328241,37214493.120000,0.274362,,513600000.00,513600000.00
sz.000100,2012-04-27,2012-03-31,0.003386,0.004921,0.163776,71377790.000000,0.097751,,8476218834.00,7946475610.00
sz.000150,2012-04-25,2012-03-31,0.000814,0.025247,0.408142,571986.680000,0.022253,,324000000.00,324000000.00
sz.000151,2012-04-21,2012-03-31,0.014383,0.091511,0.206134,12280283.910000,-0.053919,,295980000.00,266543967.00
sz.000153,2012-04-18,2012-03-31,0.003623,0.006145,0.013068,2449523.430000,0.029157,,260009200.00,231045200.00
sz.000155,2012-04-27,2012-03-31,-0.085287,-0.469720,-0.006985,-114124493.640000,-0.693874,,470000000.00,470000000.00
sz.000156,2012-04-26,2012-03-31,,0.002032,0.128139,463027.360000,0.878741,,118935730.00,63935730.00
sz.000157,2012-04-27,2012-03-31,0.057269,0.182845,0.320943,2122631769.680000,1.055125,,7705954050.00,6274061020.00
sz.000158,2012-04-25,2012-03-31,-0.008106,-0.018942,0.049800,-19500863.930000,0.034591,,718861000.00,718861000.00
sz.000159,2012-04-26,2012-03-31,0.013439,0.080671,0.087692,27408134.710000,0.702416,,481139294.00,481139294.00
sz.000301,2012-04-27,2012-03-31,0.011924,0.155151,0.268316,30661409.110000,0.106346,,1218236445.00,1218236445.00
sz.000338,2012-04-24,2012-03-31,0.043816,0.085265,0.196142,1154129698.790000,2.864519,,1666091366.00,691106772.00
sz.000400,2012-04-27,2012-03-31,0.005314,0.046168,0.357002,45735374.390000,0.421341,,378272000.00,265174780.00
sz.000401,2012-04-25,2012-03-31,-0.020918,-0.152483,0.194513,-291986503.050000,0.964238,,1347522914.00,1212245983.00
sz.000402,2012-04-26,2012-03-31,0.046988,0.403601,0.378566,865242507.600000,0.731246,,3027079809.00,3026597209.00
sz.000403,2012-04-27,2012-03-31,0.084499,0.071611,0.655306,8531264.920000,0.217704,,211683491.00,101490180.00
sz.000404,2012-04-20,2012-03-31,0.008951,0.011490,0.116178,15194891.250000,0.126800,,324581218.00,227468713.00
sz.000407,2012-04-21,2012-03-31,0.002293,0.005333,0.102804,2568472.730000,0.007503,,649232044.00,644892380.00
sz.000408,2012-04-27,2012-03-31,0.006646,0.350512,0.832835,1067485.100000,0.024843,,252301500.00,252301500.00
sz.000409,2012-04-25,2012-03-31,0.006179,0.007560,0.056380,258532.650000,0.037067,,171374148.00,169059034.00
sz.000410,2012-04-19,2012-03-31,0.016009,0.013039,0.232689,27118902.660000,0.161747,,545470884.00,538912598.00
sz.000411,2012-04-20,2012-03-31,0.037466,0.012811,0.058725,32314491.950000,0.918275,,207449946.00,203634696.00
sz.000413,2012-04-20,2012-03-31,0.078694,0.237855,0.434528,49417784.040000,0.097857,,383000000.00,282818885.00
sz.000415,2012-04-18,2012-03-31,0.007150,0.186486,0.365856,56022934.480000,0.370375,,976348440.00,300294880.00
sz.000416,2012-04-25,2012-03-31,-0.002218,-0.000136,0.192712,-18657.180000,0.034536,,531871494.00,531680754.00
sz.000417,2012-04-24,2012-03-31,0.061455,0.056999,0.194706,160101062.500000,0.819387,,519922800.00,478670872.00
sz.000419,2012-04-27,2012-03-31,0.021658,0.036099,0.232969,34777165.890000,0.482815,,452985546.00,452675012.00
sz.000420,2012-04-26,2012-03-31,-0.034212,-0.050427,0.163602,-19350983.070000,-0.870730,,378257464.00,318305017.00
sz.000421,2012-04-25,2012-03-31,0.032784,0.060545,0.102008,30369951.070000,0.376539,,351684100.00,351639187.00
sz.000422,2012-04-24,2012-03-31,0.035769,0.067170,0.183837,306238702.080000,1.383128,,626678052.00,542092617.00
sz.000423,2012-04-24,2012-03-31,0.092807,0.471436,0.752981,336526959.150000,1.407418,,654021537.00,653783247.00
sz.000425,2012-04-27,2012-03-31,0.047752,0.092714,0.206964,740628561.070000,1.503290,,2062758154.00,1033855072.00
sz.000426,2012-04-25,2012-03-31,0.007381,0.036316,0.417773,6399589.680000,0.516347,,398129881.00,380524365.00
sz.000428,2012-04-25,2012-03-31,0.011765,0.061265,0.561195,24406471.010000,0.161482,,718926000.00,718926000.00
sz.000429,2012-04-23,2012-03-31,0.014406,0.268484,0.498662,72055091.020000,0.167272,,1257117748.00,467660560.00
sz.000430,2012-04-26,2012-03-31,-0.026679,-0.133110,0.157827,-7391146.040000,0.293844,,320835149.00,167347429.00
sz.000488,2012-04-26,2012-03-31,0.001135,-0.005604,0.137186,-26631232.710000,0.188274,,2062045941.00,811066899.00
sz.000498,2012-04-23,2012-03-31,-0.106908,,,-1043247.290000,-0.000460,,440700000.00,437873465.00
sz.000501,2012-04-27,2012-03-31,0.067857,0.045586,0.204528,182547539.460000,0.674571,,507248590.00,507199303.00
sz.000502,2012-04-18,2012-03-31,-0.009985,-0.227622,0.618414,-1648231.460000,0.233178,,184819607.00,183329132.00
sz.000503,2012-04-27,2012-03-31,0.002633,0.040459,0.540299,1311104.450000,0.021220,,898822204.00,682778226.00
sz.000504,2012-04-26,2012-03-31,-0.000552,-0.002188,0.476190,-36696.430000,-0.090817,,311573901.00,309972501.00
sz.000505,2012-04-25,2012-03-31,-0.076268,-0.423015,0.366687,-27494897.650000,-0.187358,,426745404.00,360445273.00
sz.000506,2012-04-24,2012-03-31,0.026062,0.144921,0.420319,30502473.040000,0.290894,,774181468.00,277315899.00
sz.000507,2012-04-25,2012-03-31,-0.005433,-0.080439,0.244243,-10231107.070000,0.821971,,344997420.00,303240451.00
sz.000509,2012-04-24,2012-03-31,,0.024014,0.058618,1892717.150000,-0.342246,,250009885.00,150800284.00
sz.000510,2012-04-27,2012-03-31,-0.059489,-0.125706,-0.050853,-61170931.340000,-0.262508,,609182254.00,609119845.00
sz.000513,2012-04-21,2012-03-31,0.040429,0.136574,0.604255,121941801.230000,1.186404,,295721852.00,177669070.00
sz.000514,2012-04-26,2012-03-31,0.006733,0.094597,0.563301,9144506.790000,0.248137,,697331377.00,697331377.00
sz.000516,2012-04-25,2012-03-31,0.046834,0.053889,0.175743,53625487.780000,0.192966,,713419721.00,713222957.00
sz.000517,2012-04-25,2012-03-31,0.026378,0.222462,0.552675,61757851.530000,0.389722,,1061307495.00,155014177.00
sz.000518,2012-04-27,2012-03-31,0.000280,0.030795,0.465237,1762803.310000,-0.006795,,1029556222.00,1029535693.00
sz.000519,2012-04-18,2012-03-31,-0.008726,-0.041827,0.146273,-3264971.470000,-0.077276,,191153600.00,157874792.00
sz.000520,2012-04-25,2012-03-31,-48.040352,-0.492265,-0.248578,-253760235.500000,-1.437504,,674722303.00,669144645.00
sz.000521,2012-04-21,2012-03-31,0.012300,0.015340,0.226018,35208149.850000,0.162010,,636449338.00,445339110.00
sz.000523,2012-04-26,2012-03-31,0.003112,0.004430,0.045905,3200652.960000,0.052789,,445163588.00,444996408.00
sz.000524,2012-04-19,2012-03-31,0.013901,0.105956,0.570030,8279718.750000,0.090246,,269673744.00,269671562.00
sz.000525,2012-04-24,2012-03-31,0.022361,0.046257,0.117750,64502689.250000,0.256866,,507246849.00,276418049.00
sz.000526,2012-04-25,2012-03-31,-0.006319,-0.860919,0.207139,-992271.320000,0.044304,,96195107.00,96195107.00
sz.000528,2012-04-27,2012-03-31,0.015700,0.042819,0.152617,146663694.840000,0.763553,,1125242136.00,1110226232.00
sz.000529,2012-04-26,2012-03-31,0.022701,0.051771,0.197695,18327805.480000,0.125290,,583790330.00,255892165.00
sz.000530,2012-04-24,2012-03-31,0.010689,0.048066,0.183831,20023830.470000,0.244546,,350014975.00,215708941.00
sz.000531,2012-04-25,2012-03-31,0.033500,0.087956,0.226526,70881825.480000,0.360638,,342541410.00,266520472.00
sz.000532,2012-04-24,2012-03-31,0.007160,0.170859,0.367228,8151173.310000,0.083647,,344708340.00,342570996.00
sz.000533,2012-04-25,2012-03-31,0.014765,0.031679,0.240946,14997556.470000,0.115850,,690816000.00,678694688.00
sz.000534,2012-04-26,2012-03-31,0.017031,0.151725,0.544556,13546603.940000,0.081348,,485692096.00,207459814.00
sz.000536,2012-04-21,2012-03-31,0.033393,0.307507,0.534211,113101233.570000,0.506852,,700493506.00,109754572.00
sz.000537,2012-04-25,2012-03-31,0.103411,0.260703,0.607147,147929390.680000,0.689505,,512717581.00,512712031.00
sz.000538,2012-04-21,2012-03-31,0.050962,0.103676,0.283192,290513165.380000,1.837900,,694266479.00,694245398.00
sz.000539,2012-04-26,2012-03-31,0.005746,0.016232,0.102016,63841448.000000,0.143840,,2797451138.00,1988646923.00
sz.000540,2012-04-26,2012-03-31,0.064492,0.195752,0.308661,142739425.370000,0.443033,,1278812292.00,1278151081.00
sz.000541,2012-04-25,2012-03-31,0.020193,0.113616,0.256418,55836114.600000,0.287100,,978563745.00,616152268.00
sz.000543,2012-04-27,2012-03-31,0.013208,0.040030,0.090188,62800150.720000,0.060588,,773008816.00,773002646.00
sz.000544,2012-04-21,2012-03-31,0.030017,0.132772,0.258131,20393671.750000,0.299333,,269459799.00,269459799.00
sz.000545,2012-04-26,2012-03-31,,0.030552,0.562674,510497.370000,-0.020185,,158243632.00,116011132.00
sz.000546,2012-04-27,2012-03-31,0.103650,0.149003,0.307081,16313003.670000,0.128575,,169506479.00,146238131.00
sz.000547,2012-04-25,2012-03-31,0.040243,1.051738,0.397708,64212577.950000,0.267110,,618428326.00,489668694.00
sz.000548,2012-04-27,2012-03-31,0.005354,0.177498,0.696265,11425664.840000,0.094236,,499215811.00,397793085.00
sz.000550,2012-04-25,2012-03-31,0.063044,0.106630,0.241379,479190779.530000,2.084274,,863214000.00,516432070.00
sz.000551,2012-04-20,2012-03-31,0.008398,0.037953,0.196461,20174463.650000,0.116215,,266720270.00,258272434.00
sz.000552,2012-04-24,2012-03-31,0.039496,0.084754,0.215978,20511985.460000,0.390504,,177870000.00,177035170.00
sz.000553,2012-04-19,2012-03-31,0.012048,0.028788,0.141191,14431051.870000,0.098779,,593923220.00,363884168.00
sz.000554,2012-04-25,2012-03-31,0.005729,0.005251,0.046822,5063624.110000,0.022216,,480793320.00,362649713.00
sz.000555,2012-04-25,2012-03-31,,-0.171823,0.018078,-2151193.460000,0.009444,,90627680.00,90627680.00
sz.000557,2012-04-24,2012-03-31,,,,-1655001.340000,-0.337660,,686133996.00,659596804.00
sz.000558,2012-04-18,2012-03-31,0.012023,0.034111,0.146594,7126997.190000,0.104663,,630269150.00,628271289.00
sz.000559,2012-04-27,2012-03-31,0.023458,0.054822,0.173090,100865712.340000,0.269473,,1593263574.00,1590210906.00
sz.000560,2012-04-24,2012-03-31,0.011490,0.025978,0.315886,10951309.150000,0.498489,,164528662.00,92564800.00
sz.000561,2012-04-21,2012-03-31,0.002287,0.069100,0.602824,9489666.580000,0.186394,,595844701.00,264840107.00
sz.000563,2012-04-27,2012-03-31,0.038754,0.411143,,33606636.440000,0.365581,,358413026.00,358413026.00
sz.000564,2012-04-24,2012-03-31,0.028372,0.025568,0.190823,24450724.840000,0.203158,,304311834.00,266700041.00
sz.000565,2012-04-26,2012-03-31,0.022562,0.087532,0.205784,10312499.920000,-0.895596,,173436888.00,173436888.00
sz.000566,2012-04-27,2012-03-31,0.021124,0.140191,0.355304,29165058.390000,0.425308,,247594974.00,211269714.00
sz.000567,2012-04-25,2012-03-31,-0.003034,-0.270039,0.510746,-605594.340000,0.010150,,151200000.00,131686578.00
sz.000568,2012-04-27,2012-03-31,0.165287,0.426731,0.684164,1362121887.940000,2.368496,,1394239476.00,1394225976.00
sz.000570,2012-04-26,2012-03-31,0.007569,0.016670,0.070866,14089822.210000,0.073179,,561374326.00,411374326.00
sz.000571,2012-04-27,2012-03-31,0.020492,0.139360,0.442190,30748247.420000,0.197627,,736064000.00,735605331.00
sz.000572,2012-04-26,2012-03-31,0.003327,0.037964,0.157952,75522425.560000,0.166211,,1644636426.00,1641470321.00
sz.000573,2012-04-19,2012-03-31,0.005287,0.051151,0.400341,7796244.980000,0.090156,,622755604.00,622285826.00
sz.000576,2012-04-13,2012-03-31,0.386166,0.743769,0.088024,60954493.280000,-0.396527,,322861324.00,255532274.00
sz.000581,2012-04-18,2012-03-31,0.037168,0.193268,0.282889,259056588.490000,1.707017,,680133995.00,380647420.00
sz.000582,2012-04-26,2012-03-31,0.026033,0.020674,0.090339,9853943.000000,0.285928,,142122609.00,141669696.00
sz.000584,2012-04-21,2012-03-31,-0.012020,-0.095656,-0.019170,-23458846.530000,-0.103940,,408882893.00,407079455.00
sz.000585,2012-04-25,2012-03-31,-0.031925,-0.512338,0.199257,-8207836.000000,-0.063397,,873370000.00,609420978.00
sz.000586,2012-04-26,2012-03-31,-0.003956,-0.016865,0.223617,-1385021.020000,0.078050,,193440000.00,193440000.00
sz.000587,2012-04-24,2012-03-31,0.043125,0.030032,0.065278,38858274.080000,0.336649,,557134734.00,250433816.00
