ts_code,symbol,name,area,industry,list_date,peTTM,pbMRQ,psTTM,pcfNcfTTM
000001.SZ,000001,平安银行,深圳,银行,19910403,8.362543,0.863559,1.709085,13.662972
000002.SZ,000002,万科A,深圳,全国地产,19910129,7.137965,1.475432,0.754206,-17.418463
000004.SZ,000004,国农科技,深圳,生物制药,19910114,-193.018298,53.690715,24.358290,-55.281146
000005.SZ,000005,世纪星源,深圳,环境保护,19901210,15.751100,1.914932,4.374798,279.693937
000006.SZ,000006,深振业A,深圳,区域地产,19920427,7.448812,0.940689,1.611722,3.657488
000007.SZ,000007,全新好,深圳,酒店餐饮,19920413,-14.483623,15.717933,69.110505,921.050255
000008.SZ,000008,神州高铁,北京,运输设备,19920507,24.476631,1.188557,3.020696,-212.346326
000009.SZ,000009,中国宝安,深圳,综合类,19910625,47.197722,2.766367,1.074562,21.126434
000010.SZ,000010,*ST美丽,深圳,建筑工程,19951027,-5.604888,6.297763,2.238578,-910.832243
000011.SZ,000011,深物业A,深圳,区域地产,19920330,5.997644,1.558128,1.238091,-8.234104
000012.SZ,000012,南玻A,深圳,玻璃,19920228,26.717544,1.478105,1.394338,-10.872271
000014.SZ,000014,沙河股份,深圳,全国地产,19920602,12.025367,1.852320,6.065791,-47.896620
000016.SZ,000016,深康佳A,深圳,家用电器,19920327,50.506076,2.617437,0.375838,9.746145
000017.SZ,000017,深中华A,深圳,文教休闲,19920331,-808.195280,135.302383,24.149413,-185.479241
000019.SZ,000019,深粮控股,深圳,其他商业,19921012,19.583395,1.550140,0.619846,13054.478226
000020.SZ,000020,深华发A,深圳,元器件,19920428,414.132525,7.811173,3.673250,219.558429
000021.SZ,000021,深科技,深圳,IT设备,19940202,72.737321,4.071132,1.943420,-43.072364
000023.SZ,000023,深天地A,深圳,其他建材,19930429,29.487708,4.315619,1.093928,28.452038
000025.SZ,000025,特力A,深圳,汽车服务,19930621,67.471747,6.971206,14.141153,139.514415
000026.SZ,000026,飞亚达,深圳,其他商业,19930603,17.705706,1.440110,1.032021,25.072531
000027.SZ,000027,深圳能源,深圳,火力发电,19930903,11.741657,0.881892,0.963519,25.373165
000028.SZ,000028,国药一致,深圳,医药商业,19930809,13.212365,1.322022,0.327712,20.897672
000029.SZ,000029,深深房A,深圳,区域地产,19930915,20.088449,3.026531,4.354273,30.942072
000030.SZ,000030,富奥股份,吉林,汽车配件,19930929,10.893751,1.426693,1.011749,-24.555099
000031.SZ,000031,大悦城,深圳,全国地产,19931008,10.298948,1.294571,0.963357,3.187843
000032.SZ,000032,深桑达A,深圳,元器件,19931028,57.467290,4.488830,4.411556,-150.306142
000034.SZ,000034,神州数码,深圳,综合类,19940509,27.264575,4.407999,0.202129,91.277843
000035.SZ,000035,中国天楹,江苏,环境保护,19940408,26.754854,1.186016,0.870013,5.841629
000036.SZ,000036,华联控股,深圳,全国地产,19940617,6.031761,1.067843,1.758868,3.337889
000037.SZ,000037,深南电A,深圳,火力发电,19940701,269.417266,3.349730,5.487378,-46.761735
000038.SZ,000038,深大通,深圳,广告包装,19940808,-1.745914,1.832483,2.456275,-11.091418
000039.SZ,000039,中集集团,深圳,轻工机械,19940408,15.528114,0.775220,0.299069,-8.391359
000040.SZ,000040,东旭蓝天,深圳,新型电力,19940808,-23.502367,0.346575,0.512826,12.605679
000042.SZ,000042,中洲控股,深圳,全国地产,19940921,9.768186,0.789873,1.288727,-7.527656
000045.SZ,000045,深纺织A,深圳,元器件,19940815,179.097458,1.292129,1.633142,-4.075048
000046.SZ,000046,泛海控股,北京,多元金融,19940912,12.704359,0.891869,1.617432,-4.928511
000048.SZ,000048,康达尔,深圳,饲料,19941101,10.597066,6.319886,2.136355,-11.273497
000049.SZ,000049,德赛电池,深圳,电气设备,19950320,15.429431,3.489567,0.397174,-82.655655
000050.SZ,000050,深天马A,深圳,元器件,19950315,33.609997,1.043723,0.920513,-59.931922
000055.SZ,000055,方大集团,深圳,其他建材,19960415,2.100193,0.865085,1.487135,-13.423291
000056.SZ,000056,皇庭国际,深圳,房产服务,19960708,47.294951,0.711227,3.932490,-107.216974
000058.SZ,000058,深赛格,深圳,元器件,19961226,172662.031037,3.919962,5.922658,-45.711390
000059.SZ,000059,华锦股份,辽宁,石油加工,19970130,9.497597,0.636681,0.222237,-11.638755
000060.SZ,000060,中金岭南,深圳,铅锌,19970123,14.620498,1.139325,0.545513,212.290093
000061.SZ,000061,农产品,深圳,农业综合,19970110,65.349566,2.067323,3.848495,-373.040671
000062.SZ,000062,深圳华强,深圳,批发业,19970130,18.698402,2.436100,0.921004,-40.728671
000063.SZ,000063,中兴通讯,深圳,通信设备,19971118,42.759315,6.781954,2.069602,10.793011
000065.SZ,000065,北方国际,北京,建筑工程,19980605,8.624934,1.202785,0.549966,-5.797521
000066.SZ,000066,中国长城,深圳,IT设备,19970626,37.622041,5.745862,3.302309,74.456599
000068.SZ,000068,华控赛格,深圳,环境保护,19970611,-19.903215,6.897569,18.396550,26.235057
000069.SZ,000069,华侨城A,深圳,旅游景点,19970910,4.195408,0.773766,0.902300,44.586907
000070.SZ,000070,特发信息,深圳,通信设备,20000511,39.630045,3.072701,1.730615,54.151531
000078.SZ,000078,海王生物,深圳,医药商业,19981218,37.035326,2.023140,0.312685,134.719261
000088.SZ,000088,盐田港,深圳,港口,19970728,23.593266,1.235119,14.750232,-296.615757
000089.SZ,000089,深圳机场,深圳,机场,19980420,26.175141,1.252808,3.996607,120.243205
000090.SZ,000090,天健集团,深圳,建筑工程,19990721,9.819257,1.210433,0.722912,2.062036
000096.SZ,000096,广聚能源,深圳,石油贸易,20000724,44.154978,2.015243,3.217418,215.413669
000099.SZ,000099,中信海直,深圳,空运,20000731,17.133407,1.167736,2.375237,10.260689
000100.SZ,000100,TCL科技,广东,元器件,20040130,17.424733,2.038003,0.688141,14.501625
000150.SZ,000150,宜华健康,广东,医疗保健,20000807,-169.711946,1.804182,2.270378,562.006725
000151.SZ,000151,中成股份,北京,商贸代理,20000906,117.758189,2.468415,2.230821,-3.926023
000153.SZ,000153,丰原药业,安徽,化学制药,20000920,25.791732,1.557638,0.648375,-230.898027
000155.SZ,000155,川能动力,四川,新型电力,20000926,9.265836,1.416610,1.869584,-37.846939
000156.SZ,000156,华数传媒,浙江,影视音像,20000906,20.119188,1.235718,3.787521,-48.756047
000157.SZ,000157,中联重科,湖南,工程机械,20001012,10.562011,1.171237,1.124572,19.704722
000158.SZ,000158,常山北明,河北,软件服务,20000724,81.732986,2.592825,1.447209,53.285950
000159.SZ,000159,国际实业,新疆,石油贸易,20000926,107.095467,1.090813,5.869106,-322.021114
000166.SZ,000166,申万宏源,新疆,证券,20150126,19.744785,1.349087,4.955751,10.684655
000301.SZ,000301,东方盛虹,江苏,化纤,20000529,15.062711,1.403200,0.936909,8.372869
000333.SZ,000333,美的集团,广东,家用电器,20130918,13.736627,3.306386,1.176090,22.295394
000338.SZ,000338,潍柴动力,山东,汽车配件,20070430,9.808641,2.222300,0.567916,24.696913
000400.SZ,000400,许继电气,河南,电气设备,19970418,43.132230,1.681511,1.441672,138.476252
000401.SZ,000401,冀东水泥,河北,水泥,19960614,10.014407,2.186654,0.783747,-6.622242
000402.SZ,000402,金融街,北京,全国地产,19960626,5.317533,0.590578,0.715583,-33.539763
000403.SZ,000403,双林生物,山西,生物制药,19960628,60.977503,13.040038,10.897480,385.046240
000404.SZ,000404,长虹华意,江西,专用机械,19960619,33.883658,0.735493,0.263179,0.854276
000407.SZ,000407,胜利股份,山东,供气供热,19960703,24.010952,1.275947,0.557125,23.026515
000408.SZ,000408,藏格控股,青海,农药化肥,19960628,24.247444,1.395339,5.426109,-16.774038
000409.SZ,000409,ST地矿,山东,综合类,19960627,-7.513115,2.841684,0.541785,9.636723
000410.SZ,000410,*ST沈机,辽宁,机床制造,19960718,-2.684394,-3.257930,4.850003,46.767203
000411.SZ,000411,英特集团,浙江,医药商业,19960716,19.438491,1.857272,0.117494,32.987805
000413.SZ,000413,东旭光电,河北,元器件,19960925,9.014323,0.537172,0.760319,-3.798216
000415.SZ,000415,渤海租赁,新疆,多元金融,19960716,9.285648,0.465030,0.468066,-8.948969
000416.SZ,000416,民生控股,山东,多元金融,19960719,83.346232,2.678876,28.664466,384.830121
000417.SZ,000417,合肥百货,安徽,百货,19960812,17.284778,0.920018,0.329888,-5.253733
000419.SZ,000419,通程控股,湖南,百货,19960816,13.169111,0.790994,0.603916,50.073698
000420.SZ,000420,吉林化纤,吉林,化纤,19960802,49.631723,1.424995,1.665992,-13.946432
000421.SZ,000421,南京公用,江苏,供气供热,19960806,20.942821,0.900848,0.630424,-3.691067
000422.SZ,000422,ST宜化,湖北,农药化肥,19960815,47.774656,17.854827,0.169929,-14.028490
000423.SZ,000423,东阿阿胶,山东,中成药,19960729,15.293515,1.537849,2.825674,673.845098
000425.SZ,000425,徐工机械,江苏,工程机械,19960828,11.053043,1.411931,0.734045,10.249474
