ts_code,symbol,name,area,industry,list_date,peTTM,pbMRQ,psTTM,pcfNcfTTM
002716.SZ,002716,ST金贵,湖南,小金属,20140128,-0.538561,0.861630,0.299892,-22.125338
002717.SZ,002717,岭南股份,广东,环境保护,20140219,18.065114,1.552812,0.909669,-22.470782
002718.SZ,002718,友邦吊顶,浙江,家居用品,20140128,22.269230,1.752619,3.002452,-8.764346
002719.SZ,002719,麦趣尔,新疆,乳制品,20140128,314.129066,1.730998,2.299041,-19.913544
002721.SZ,002721,金一文化,北京,服饰,20140127,52.477516,0.800500,0.344568,11.294694
002722.SZ,002722,金轮股份,江苏,纺织机械,20140128,19.521850,1.175198,0.966170,731.893599
002723.SZ,002723,金莱特,广东,家用电器,20140129,51.036134,3.078169,1.917150,-263.362933
002724.SZ,002724,海洋王,深圳,半导体,20141104,19.448879,2.595777,3.352914,-243.905382
002725.SZ,002725,跃岭股份,浙江,汽车配件,20140129,81.223861,2.877157,3.896350,-230.339957
002726.SZ,002726,龙大肉食,山东,食品,20140626,26.465649,2.800729,0.369052,-9.684704
002727.SZ,002727,一心堂,云南,医药商业,20140702,22.657483,3.051764,1.305767,599.352051
002728.SZ,002728,特一药业,广东,中成药,20140731,18.768061,3.058409,3.498636,58.104149
002729.SZ,002729,好利来,福建,元器件,20140912,127.133412,6.180081,15.427098,208.509798
002730.SZ,002730,电光科技,浙江,电气设备,20141009,59.900099,2.567144,2.525339,-23640.121568
002731.SZ,002731,萃华珠宝,辽宁,服饰,20141104,53.026412,1.529816,0.817852,-26.558861
002732.SZ,002732,燕塘乳业,广东,乳制品,20141205,25.486919,3.146874,2.107590,559.547894
002733.SZ,002733,雄韬股份,深圳,电气设备,20141203,42.946794,3.011272,2.520877,31.845708
002734.SZ,002734,利民股份,江苏,农药化肥,20150127,12.883733,2.071997,1.478437,-16.418851
002735.SZ,002735,王子新材,深圳,塑料,20141203,47.003783,4.262561,2.010906,195.237952
002736.SZ,002736,国信证券,深圳,证券,20141229,19.037971,1.825457,6.633120,5.250571
002737.SZ,002737,葵花药业,黑龙江,中成药,20141230,14.131880,2.691460,1.887461,25.622979
002738.SZ,002738,中矿资源,北京,小金属,20141230,29.403304,1.609327,3.703299,-69.079785
002739.SZ,002739,万达电影,北京,影视音像,20150122,-7.524212,1.819936,2.276986,-140.162628
002740.SZ,002740,爱迪尔,福建,服饰,20150122,66.701525,1.358991,1.604693,-356.668855
002741.SZ,002741,光华科技,广东,化工原料,20150216,276.379240,3.884500,2.739900,-79.076188
002742.SZ,002742,三圣股份,重庆,其他建材,20150217,22.169050,1.626684,0.759874,16.959529
002743.SZ,002743,富煌钢构,安徽,钢加工,20150217,24.399725,1.114695,0.576758,-17.870151
002745.SZ,002745,木林森,广东,半导体,20150217,18.531385,1.500783,0.752340,-21.279822
002746.SZ,002746,仙坛股份,山东,农业综合,20150216,6.529084,2.222187,1.849055,13.991915
002747.SZ,002747,埃斯顿,江苏,机械基件,20150320,97.018174,5.443479,6.249855,18.293860
002748.SZ,002748,世龙实业,江西,化工原料,20150319,-87.539791,1.457497,0.735595,-18.674489
002749.SZ,002749,国光股份,四川,农药化肥,20150320,19.647159,3.537148,3.811178,-167.324519
002750.SZ,002750,龙津药业,云南,中成药,20150324,3569.602575,6.335686,15.093514,12.210709
002751.SZ,002751,易尚展示,深圳,家居用品,20150424,75.067702,3.649481,3.229796,304.748384
002752.SZ,002752,昇兴股份,福建,广告包装,20150422,78.231513,2.400883,1.607460,76.102115
002753.SZ,002753,永东股份,山西,化工原料,20150519,29.540515,1.946349,0.938583,-57.873653
002755.SZ,002755,奥赛康,北京,化学制药,20150515,17.909132,6.127435,3.144692,13.552411
002756.SZ,002756,永兴材料,浙江,特种钢,20150515,16.870031,1.709453,1.180587,27.926551
002757.SZ,002757,南兴股份,广东,专用机械,20150527,22.769576,2.704190,3.041615,21.763582
002758.SZ,002758,华通医药,浙江,医药商业,20150527,98.981278,3.470435,1.302859,267.998477
002759.SZ,002759,天际股份,广东,家用电器,20150528,85.628303,1.028712,4.007984,-463.354768
002760.SZ,002760,凤形股份,安徽,机械基件,20150611,25.232760,3.087361,2.797672,13.417798
002761.SZ,002761,多喜爱,湖南,纺织,20150610,3.778497,4.525444,0.041636,-65.371826
002762.SZ,002762,金发拉比,广东,服饰,20150610,40.278693,1.905585,4.328459,55.400663
002763.SZ,002763,汇洁股份,深圳,服饰,20150610,17.524062,1.694621,1.227853,72.686895
002765.SZ,002765,蓝黛传动,重庆,汽车配件,20150612,-15.721484,1.322004,1.876856,84.009000
002766.SZ,002766,*ST索菱,深圳,汽车配件,20150611,140.593750,1.485976,1.817080,-13.795386
002767.SZ,002767,先锋电子,浙江,电器仪表,20150612,67.564937,2.602059,5.901583,357.046937
002768.SZ,002768,国恩股份,山东,塑料,20150630,25.075453,4.412595,1.949824,-103.931725
002769.SZ,002769,普路通,深圳,仓储物流,20150629,44.062431,1.996400,0.422459,29.579764
002770.SZ,002770,科迪乳业,河南,乳制品,20150630,-50.083094,1.392559,3.058676,-2.080751
002771.SZ,002771,真视通,北京,软件服务,20150629,85.635508,4.299740,3.945647,-1690.742408
002772.SZ,002772,众兴菌业,甘肃,种植业,20150626,39.589779,1.134598,2.373207,4.034148
002773.SZ,002773,康弘药业,四川,化学制药,20150626,46.340737,7.469976,10.217094,535.332859
002774.SZ,002774,快意电梯,广东,运输设备,20170324,111.447625,2.205251,2.848232,-14.741576
002775.SZ,002775,文科园林,深圳,建筑工程,20150629,11.074615,1.098166,0.947902,12.625053
002776.SZ,002776,柏堡龙,广东,服饰,20150626,29.150485,1.813684,4.552331,11.631612
002777.SZ,002777,久远银海,四川,软件服务,20151231,61.957392,9.398950,9.807382,155.889274
002778.SZ,002778,高科石化,江苏,石油加工,20160106,116.749354,3.072318,2.737746,424.478187
002779.SZ,002779,中坚科技,浙江,农用机械,20151209,181.082853,3.445694,5.434594,344.784045
002780.SZ,002780,三夫户外,北京,其他商业,20151209,616.353040,3.942655,6.278979,195.236694
002781.SZ,002781,奇信股份,深圳,装修装饰,20151222,29.312422,1.599663,0.789042,-15.658565
002782.SZ,002782,可立克,深圳,电气设备,20151222,201.442770,5.530610,4.047004,35.157642
002783.SZ,002783,凯龙股份,湖北,化工原料,20151209,85.098081,2.308901,2.059111,-15.240000
002785.SZ,002785,万里石,福建,其他建材,20151223,-73.163860,4.033825,2.598208,-185.743897
002786.SZ,002786,银宝山新,深圳,专用机械,20151223,-24.158554,3.103838,1.062216,17.567820
002787.SZ,002787,华源控股,江苏,广告包装,20151231,28.814541,1.436830,1.216624,25.816869
002788.SZ,002788,鹭燕医药,福建,医药商业,20160218,10.997018,1.515887,0.185893,-73.607159
