code,pubDate,statDate,currentRatio,quickRatio,cashRatio,YOYLiability,liabilityToAsset,assetToEquity
sz.000001,2020-02-14,2019-12-31,,,,0.140799,0.920544,12.585572
sz.000002,2020-03-18,2019-12-31,1.130738,0.425873,0.130593,0.128691,0.843590,6.393433
sz.000011,2020-03-18,2019-12-31,1.818677,0.873894,0.634127,1.389024,0.696768,3.297802
sz.000026,2020-03-20,2019-12-31,2.423574,0.775837,0.288468,0.074627,0.294179,1.416789
sz.000029,2020-03-14,2019-12-31,3.036329,1.970785,1.829899,-0.054923,0.282032,1.392821
sz.000037,2020-03-20,2019-12-31,1.589258,1.467210,0.756850,-0.089408,0.359328,1.560860
sz.000045,2020-03-14,2019-12-31,4.585641,3.778932,0.843463,-0.416426,0.149354,1.175578
sz.000050,2020-03-18,2019-12-31,0.705420,0.541838,0.157739,0.138443,0.591951,2.450686
sz.000060,2020-03-10,2019-12-31,1.062964,0.791226,0.438208,0.019045,0.440773,1.788183
sz.000099,2020-03-24,2019-12-31,1.628783,1.407534,0.411398,0.004003,0.421481,1.728550
sz.000151,2020-03-25,2019-12-31,1.356321,0.728237,0.437937,0.248227,0.603740,2.523593
sz.000401,2020-03-19,2019-12-31,0.776785,0.648607,0.266815,-0.257040,0.525172,2.106026
sz.000416,2020-03-21,2019-12-31,27.412239,27.412239,2.303777,0.220572,0.026555,1.027279
sz.000532,2020-03-25,2019-12-31,0.507864,0.434731,0.222785,-0.078011,0.599001,2.493775
sz.000534,2020-02-29,2019-12-31,1.222671,1.153315,0.306057,-0.213218,0.540409,2.175850
sz.000551,2020-03-24,2019-12-31,1.400262,0.968834,0.446641,0.008392,0.483675,1.936764
sz.000565,2020-03-20,2019-12-31,2.805814,2.390892,1.125760,0.039084,0.263261,1.357333
sz.000600,2020-03-24,2019-12-31,0.652705,0.599296,0.217417,0.004243,0.570936,2.330655
sz.000603,2020-03-17,2019-12-31,1.126509,0.939379,0.332200,0.079575,0.387562,1.632817
sz.000613,2020-03-21,2019-12-31,1.475762,1.442063,0.983836,-0.131993,0.103227,1.115110
sz.000619,2020-03-21,2019-12-31,1.882474,1.499778,0.468673,0.188376,0.337815,1.510153
sz.000628,2020-02-29,2019-12-31,1.202383,0.893483,0.237519,0.802002,0.812086,5.321574
sz.000655,2020-03-21,2019-12-31,4.993527,4.684473,2.876088,-0.033677,0.103187,1.115060
sz.000656,2020-03-24,2019-12-31,1.449149,0.383088,0.179066,0.396626,0.837841,6.166785
sz.000666,2020-03-25,2019-12-31,3.157301,3.058525,1.386569,-0.250846,0.381795,1.617588
sz.000670,2020-03-20,2019-12-31,0.275000,0.240993,0.109386,0.614350,1.545358,
sz.000708,2020-03-06,2019-12-31,0.777850,0.567204,0.206998,0.020994,0.651766,2.871631
sz.000712,2020-03-06,2019-12-31,,,,-0.103970,0.808272,5.215727
sz.000739,2020-03-12,2019-12-31,1.545144,1.157473,0.404367,0.144649,0.422317,1.731053
