code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM,MBRevenue,totalShare,liqaShare
sz.000001,2016-10-21,2016-09-30,0.104073,0.228370,,18719000000.000000,1.330428,,17170411366.00,14631180387.00
sz.000002,2016-10-28,2016-09-30,0.082382,0.096453,0.265271,11290253073.200000,1.768916,,11039152001.00,9708107759.00
sz.000004,2016-10-29,2016-09-30,0.165389,0.094197,0.304974,20494137.330000,0.161580,,83976684.00,82961384.00
sz.000005,2016-10-31,2016-09-30,0.110044,0.404809,0.289436,141884379.830000,0.102373,,1058536842.00,913743007.00
sz.000006,2016-10-31,2016-09-30,0.026203,0.104541,0.413406,119772699.770000,0.188453,,1349995046.00,1345151388.00
sz.000007,2016-10-29,2016-09-30,0.046164,0.925185,0.701375,26109581.200000,0.168104,,230965363.00,205965363.00
sz.000008,2016-10-26,2016-09-30,0.049778,0.217620,0.508344,219215078.290000,0.111235,,2757709279.00,1494939643.00
sz.000009,2016-10-28,2016-09-30,0.046697,0.087473,0.324493,366426435.460000,0.148668,,2149344971.00,2120065530.00
sz.000010,2016-10-25,2016-09-30,0.010038,0.029954,0.282398,21208658.430000,0.064188,,819854713.00,407929925.00
sz.000011,2016-10-29,2016-09-30,-0.003475,-0.013597,0.197387,-7202485.590000,0.173096,,595979092.00,175862626.00
sz.000012,2016-10-28,2016-09-30,0.090297,0.110188,0.274772,718660205.000000,0.455629,,2075335560.00,1304071902.00
sz.000014,2016-10-29,2016-09-30,-0.024960,-0.105196,0.183467,-18076850.080000,0.180546,,201705187.00,201705187.00
sz.000016,2016-10-29,2016-09-30,-0.015935,-0.003367,0.141346,-49211355.850000,-0.186441,,2407945408.00,1596593800.00
sz.000017,2016-10-28,2016-09-30,0.162477,0.024249,0.096304,2908599.640000,0.002547,,551347947.00,302980258.00
sz.000019,2016-10-25,2016-09-30,-0.029896,-0.152731,0.205868,-34576286.220000,-0.120865,,451620276.00,378152315.00
sz.000020,2016-10-27,2016-09-30,0.014370,0.009869,0.131092,4509368.560000,-0.078460,,283161227.00,181165391.00
sz.000021,2016-10-31,2016-09-30,0.057409,0.028527,0.053655,301547719.010000,0.233718,,1471259363.00,1469814362.00
sz.000023,2016-10-25,2016-09-30,0.021482,0.018337,0.138339,13276381.290000,0.055890,,138756240.00,138756240.00
sz.000025,2016-10-28,2016-09-30,0.029747,0.109866,0.282598,26450074.300000,0.169163,,297281600.00,193881600.00
sz.000026,2016-10-27,2016-09-30,0.046371,0.048355,0.409274,108030712.930000,0.281276,,438744881.00,311070137.00
sz.000027,2016-10-28,2016-09-30,0.062048,0.166721,0.319262,1437987525.500000,0.388344,,3964491597.00,3964491597.00
sz.000028,2016-10-22,2016-09-30,0.125479,0.034612,0.071706,741443789.040000,2.509575,,362631943.00,233261812.00
sz.000029,2016-10-27,2016-09-30,0.096716,0.135780,0.273992,236863312.480000,0.300509,,1011660000.00,891660000.00
