code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM,MBRevenue,totalShare,liqaShare
sz.000001,2018-03-15,2017-12-31,0.109324,0.219207,,23189000000.000000,1.350521,105786000000.000000,17170411366.00,16917989651.00
sz.000002,2018-03-27,2017-12-31,0.227952,0.153186,0.340956,37208387330.070000,2.541120,240139648827.890000,11039152001.00,9709165105.00
sz.000004,2018-04-28,2017-12-31,0.068476,0.042511,0.619412,5892241.410000,0.102013,137590309.740000,83976684.00,82963684.00
sz.000005,2018-04-21,2017-12-31,0.011753,0.043200,0.347475,22935991.940000,0.014462,508064207.010000,1058536842.00,951222460.00
sz.000006,2018-03-30,2017-12-31,0.152396,0.277242,0.297145,820482505.600000,0.596770,2959450243.710000,1349995046.00,1348267407.00
sz.000007,2018-04-24,2017-12-31,0.043448,0.020055,0.689534,795055.380000,0.047492,34328405.150000,346448044.00,308948044.00
sz.000008,2018-04-26,2017-12-31,0.132206,0.381654,0.488964,889609890.130000,0.310035,2330932161.160000,2818329809.00,2009212831.00
sz.000009,2018-04-28,2017-12-31,0.028125,0.046024,0.337151,323247414.690000,0.061974,7023511217.260000,2149344971.00,2119864068.00
sz.000010,2018-04-27,2017-12-31,-0.629955,-1.401899,0.050673,-1062479034.730000,-1.294652,749634044.450000,819854713.00,522171498.00
sz.000011,2018-03-30,2017-12-31,0.233664,0.214468,0.439573,622962734.370000,1.045276,2904690690.530000,595979092.00,175862626.00
sz.000012,2018-04-23,2017-12-31,0.101477,0.076166,0.244778,828636035.000000,0.332262,10786756657.000000,2484147547.00,1509403397.00
sz.000014,2018-03-29,2017-12-31,0.010332,0.021414,0.193196,10988209.580000,0.037829,500146070.050000,201705187.00,201705187.00
sz.000016,2018-03-31,2017-12-31,0.928267,0.162895,0.110119,5086834099.980000,2.100141,29801098730.200000,2407945408.00,1596574300.00
sz.000017,2018-04-18,2017-12-31,0.101073,0.011486,0.097921,1579159.470000,0.002774,137490597.690000,551347947.00,302980258.00
sz.000019,2018-04-24,2017-12-31,-0.054677,-0.193984,0.221260,-61252928.190000,-0.108889,309938912.940000,496782303.00,415964578.00
sz.000020,2018-04-24,2017-12-31,0.003043,0.001136,0.093391,974409.390000,0.003441,858040132.740000,283161227.00,181165391.00
sz.000021,2018-04-12,2017-12-31,0.097398,0.040387,0.063978,573895565.590000,0.367918,14169589372.880000,1471259363.00,1469270814.00
sz.000023,2018-04-20,2017-12-31,0.076296,0.023340,0.110985,28688798.510000,0.219816,1212037365.710000,138756240.00,138756240.00
sz.000025,2018-04-03,2017-12-31,0.071949,0.189443,0.267777,65781568.710000,0.224914,347237289.800000,297281600.00,193881600.00
sz.000026,2018-03-10,2017-12-31,0.057949,0.042625,0.406227,142616359.200000,0.319585,3326715761.430000,438744881.00,357047148.00
sz.000027,2018-04-13,2017-12-31,0.034894,0.054359,0.274778,845059357.820000,0.189012,15545854866.050000,3964491597.00,3964491597.00
sz.000028,2018-03-22,2017-12-31,0.118542,0.028033,0.107700,1156738846.090000,2.470743,40957232334.770000,428126983.00,307744355.00
sz.000029,2018-03-29,2017-12-31,0.067611,0.137396,0.283819,184922598.100000,0.182856,1317410744.730000,1011660000.00,891660000.00
sz.000030,2018-04-26,2017-12-31,0.152231,0.113842,0.185146,818894935.420000,0.642990,7193263144.160000,1293251508.00,1252245577.00
sz.000031,2018-03-17,2017-12-31,0.150980,0.123543,0.363265,1734838350.130000,0.521208,13869333917.640000,1813731596.00,1813722958.00
sz.000032,2018-04-26,2017-12-31,0.018135,0.007592,0.181163,13066915.220000,0.062453,1721063809.240000,422254134.00,279435887.00
sz.000034,2018-03-29,2017-12-31,0.241046,0.011624,0.047016,723188627.340000,1.105270,62208770188.270000,654070434.00,357969933.00
sz.000035,2018-04-18,2017-12-31,0.087462,0.139529,0.384136,224894366.010000,0.164459,1611814141.410000,1351521423.00,1168125821.00
sz.000036,2018-04-27,2017-12-31,0.344967,0.345536,0.682246,1372382699.140000,1.176644,3971747004.380000,1141487712.00,1135480212.00
sz.000037,2018-03-22,2017-12-31,0.008153,0.000184,0.083687,377076.760000,0.026385,2040134442.780000,602762596.00,338894012.00
sz.000038,2018-04-21,2017-12-31,0.068444,0.237279,0.337875,358378132.830000,0.684670,1510366505.510000,522777419.00,78847029.00
sz.000039,2018-03-28,2017-12-31,0.081275,0.041395,0.183581,3158415000.000000,0.841218,76299930000.000000,2982889136.00,1265812501.00
sz.000040,2018-04-25,2017-12-31,0.048472,0.066405,0.163567,539940092.720000,0.406902,8084736160.570000,1337173272.00,1060340670.00
sz.000042,2018-04-27,2017-12-31,0.100085,0.070358,0.362794,608896802.120000,0.925593,8654233826.310000,664831139.00,487996480.00
sz.000045,2018-03-29,2017-12-31,0.022282,0.049922,0.119239,73661677.870000,0.103225,1453285358.210000,511274149.00,457019599.00
sz.000046,2018-04-28,2017-12-31,0.150612,0.368834,0.381337,3092597848.120000,0.556429,16876338974.630000,5196200656.00,5095133984.00
sz.000048,2018-08-31,2017-12-31,0.318101,0.099751,0.402966,293541394.450000,0.708251,2942727804.370000,390768671.00,385392267.00
sz.000049,2018-03-27,2017-12-31,0.234739,0.029134,0.088006,363769831.780000,1.464286,12485975568.120000,205243738.00,205243738.00
sz.000050,2018-03-01,2017-12-31,0.057180,0.057606,0.208493,807204315.620000,0.576122,13781407100.200000,1401098744.00,1401014244.00
sz.000055,2018-04-24,2017-12-31,0.408482,0.390520,0.322050,1151047221.510000,0.966850,2947470813.580000,1183642254.00,678243800.00
sz.000056,2018-04-21,2017-12-31,0.034112,0.299107,0.670786,210054564.090000,0.151295,702271639.390000,1175345368.00,286111180.00
sz.000058,2018-04-24,2017-12-31,0.126711,0.155465,0.294154,308024690.940000,0.177682,1968663974.010000,1235656249.00,538147753.00
sz.000059,2018-04-10,2017-12-31,0.161678,0.057577,0.238197,1941154830.020000,1.153702,33713780563.650000,1599442537.00,1399970996.00
sz.000060,2018-04-03,2017-12-31,0.120662,0.057657,0.142083,1093552475.930000,0.448356,18966588411.310000,2379790218.00,2211089460.00
sz.000061,2018-04-27,2017-12-31,0.002878,0.025006,0.377474,61172541.520000,0.008186,2431003148.720000,1696964131.00,1690402281.00
sz.000062,2018-03-23,2017-12-31,0.100807,0.055040,0.162031,456713726.980000,0.571551,8297880908.290000,721316774.00,666949797.00
sz.000063,2018-03-16,2017-12-31,0.157393,0.049500,0.310705,5386342000.000000,1.089561,108815300000.000000,4192671843.00,3432348364.00
sz.000065,2018-03-28,2017-12-31,0.145970,0.055824,0.137880,543169145.150000,0.973197,9730031617.160000,513003607.00,408248817.00
sz.000066,2018-04-28,2017-12-31,0.123040,0.073219,0.216691,696084777.950000,0.197361,8528962603.090000,2944069459.00,2491027809.00
sz.000068,2018-04-17,2017-12-31,0.050900,0.079055,0.428140,32644084.170000,0.032387,396114598.310000,1006671464.00,896671464.00
sz.000069,2018-04-27,2017-12-31,0.180508,0.220080,0.502523,9318466910.690000,1.053324,42182248263.470000,8205681415.00,6147269697.00
sz.000070,2018-04-11,2017-12-31,0.142768,0.054369,0.166403,297563239.450000,0.423645,5473074135.560000,626994746.00,541836990.00
sz.000078,2018-04-28,2017-12-31,0.116976,0.032913,0.144168,820829715.960000,0.240449,24791059681.220000,2646613257.00,1856654687.00
sz.000088,2018-04-20,2017-12-31,0.066597,1.259109,0.453631,432854953.420000,0.208194,343778902.530000,1942200000.00,1942200000.00
sz.000089,2018-03-31,2017-12-31,0.060538,0.203271,0.288779,675025232.210000,0.322494,3320807949.850000,2050769509.00,2050769509.00
sz.000090,2018-04-03,2017-12-31,0.093779,0.088632,0.260775,598227808.380000,0.502278,6748005686.420000,1197785535.00,773542061.00
sz.000096,2018-03-27,2017-12-31,0.064445,0.124666,0.138300,154981838.480000,0.284458,1243173666.890000,528000000.00,510848000.00
sz.000099,2018-03-27,2017-12-31,0.031449,0.075273,0.198009,95578988.980000,0.150120,1269761412.850000,606070420.00,606070420.00
sz.000100,2018-04-28,2017-12-31,0.101478,0.031769,0.205360,3544702000.000000,0.197144,110510897000.000000,13514972063.00,9001356704.00
sz.000150,2018-04-26,2017-12-31,0.074214,0.087099,0.315223,184315752.000000,0.389293,2116173231.180000,447804877.00,375329434.00
sz.000151,2018-03-30,2017-12-31,0.088159,0.039682,0.137902,88435880.320000,0.295160,2203816110.690000,295980000.00,266543967.00
sz.000153,2018-04-20,2017-12-31,0.055071,0.025347,0.305994,65348141.380000,0.206095,2510758000.030000,317077630.00,311977230.00
sz.000155,2018-04-28,2017-12-31,0.110667,0.058617,0.058152,381547446.630000,0.255825,6509089485.460000,1270000000.00,937200000.00
sz.000156,2018-04-26,2017-12-31,0.062614,0.199792,0.446559,641193778.000000,0.447396,3209307928.540000,1433351902.00,993624337.00
sz.000157,2018-03-30,2017-12-31,0.035808,0.053624,0.213500,1247982664.900000,0.170890,23272893731.360000,7794048075.00,6225434775.00
sz.000158,2018-04-10,2017-12-31,0.060455,0.031546,0.072556,355037878.440000,0.214835,11254467684.790000,1652874961.00,1014961952.00
sz.000159,2018-03-29,2017-12-31,-0.031039,-0.200254,0.114508,-71131359.970000,-0.137809,355204838.550000,481139294.00,481139294.00
sz.000166,2018-04-21,2017-12-31,0.085574,0.353518,,4725752651.450000,0.229335,13367782979.840000,20056605718.00,7410006386.00
sz.000301,2018-03-13,2017-12-31,0.064823,0.205042,0.313365,228012022.030000,0.187539,1112023498.460000,1218236445.00,1218236445.00
sz.000333,2018-03-31,2017-12-31,0.256312,0.077317,0.250306,18611190000.000000,2.634434,240712301000.000000,6561053319.00,6349006920.00
sz.000338,2018-03-29,2017-12-31,0.203301,0.060556,0.218393,9178366777.820000,0.851337,151569392236.630000,7997238556.00,4315332257.00
sz.000400,2018-03-24,2017-12-31,0.083884,0.065996,0.206222,681789050.490000,0.608708,10330721120.440000,1008327309.00,1008187056.00
sz.000401,2018-03-23,2017-12-31,0.011003,0.008577,0.298273,131133753.850000,0.081916,15289714130.810000,1347522914.00,1347219101.00
sz.000402,2018-03-27,2017-12-31,0.104939,0.160768,0.294079,4102689364.920000,1.005849,25519340880.510000,2988929907.00,2987793996.00
