code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM,MBRevenue,totalShare,liqaShare
sz.000001,2013-08-23,2013-06-30,0.085414,0.321480,,7531000000.000000,1.728935,23426000000.000000,8197360665.00,4968573875.00
sz.000002,2013-08-07,2013-06-30,0.069844,0.128916,0.335863,5335891298.590000,1.215743,41216186600.920000,11013724969.00,9666196660.00
sz.000004,2013-08-27,2013-06-30,0.000698,0.117807,0.488856,4155705.490000,0.033906,34961644.730000,83976684.00,83875459.00
sz.000005,2013-08-28,2013-06-30,-0.033474,-1.016850,0.037464,-22456860.140000,0.031523,22084734.190000,914333607.00,913743007.00
sz.000006,2013-08-15,2013-06-30,0.075826,0.231798,0.454395,271324775.510000,0.461903,1170522469.810000,1349995046.00,1335952936.00
sz.000007,2013-08-29,2013-06-30,0.003790,-0.040784,0.750337,-2699689.800000,0.014276,62799378.990000,230965363.00,184831640.00
sz.000008,2013-08-15,2013-06-30,0.019310,0.071070,0.446960,10545210.870000,0.116191,148339456.280000,303601640.00,147306236.00
sz.000009,2013-08-28,2013-06-30,0.010355,0.065818,0.387231,130684772.880000,0.127656,1944735107.450000,1090750529.00,1079470335.00
sz.000010,2013-08-28,2013-06-30,0.022347,0.029915,0.327600,4160857.550000,0.072463,130452766.920000,147017448.00,67793846.00
sz.000011,2013-08-10,2013-06-30,0.210564,0.262278,0.589689,353600992.810000,1.057649,1333146585.620000,595979092.00,175734224.00
sz.000012,2013-08-06,2013-06-30,0.051769,0.116436,0.289030,411830510.000000,0.184246,3497819720.000000,2075335560.00,1303641590.00
sz.000014,2013-08-22,2013-06-30,-0.012122,-0.014085,0.338618,-3519817.320000,0.157156,246457117.800000,201705187.00,201705187.00
sz.000016,2013-08-31,2013-06-30,0.009989,0.003890,0.168300,36648406.000000,0.062219,9329229395.360000,1203972704.00,599914960.00
sz.000017,2013-08-24,2013-06-30,,-0.279123,0.121677,-29280987.160000,-0.087753,92447037.490000,551347947.00,293012400.00
sz.000019,2013-08-21,2013-06-30,-0.006340,-0.019482,0.150866,-4475950.200000,-0.080801,229503390.320000,250900154.00,202727493.00
sz.000020,2013-08-27,2013-06-30,0.006999,0.006501,0.129551,1967980.430000,-0.004296,284004581.240000,283161227.00,64675497.00
sz.000021,2013-08-30,2013-06-30,0.021917,0.006403,0.017138,47567808.730000,0.087091,7404943689.690000,1319277781.00,1317832780.00
sz.000023,2013-08-28,2013-06-30,0.027820,0.012887,0.156848,5782046.030000,0.174225,447658048.760000,138756240.00,138756240.00
sz.000025,2013-08-26,2013-06-30,0.020096,0.012010,0.175605,2667181.150000,0.088659,211302424.660000,220281600.00,179294544.00
sz.000026,2013-08-21,2013-06-30,0.046705,0.045886,0.356338,69212725.920000,0.305045,1493827814.220000,392767870.00,148092810.00
sz.000027,2013-08-15,2013-06-30,0.041529,0.142092,0.187441,762997049.000000,0.393953,5225041684.700000,2642994398.00,958349975.00
sz.000028,2013-08-20,2013-06-30,0.138685,0.026432,0.084118,267800167.110000,1.723249,10074492043.060000,288149400.00,233260265.00
sz.000029,2013-08-21,2013-06-30,0.007945,0.040750,0.230694,13068157.780000,0.078861,320687860.600000,1011660000.00,891660000.00
sz.000030,2013-08-13,2013-06-30,0.160646,0.121611,0.182475,309248672.410000,0.028527,2429467305.230000,1298695140.00,184976240.00
sz.000031,2013-08-29,2013-06-30,0.022772,0.068420,0.302531,200019775.530000,0.310087,2747672218.340000,1813731596.00,1813720079.00
sz.000032,2013-08-26,2013-06-30,0.021568,0.035674,0.173375,27518814.240000,0.902987,771397358.900000,232864320.00,232819164.00
sz.000034,2013-08-08,2013-06-30,0.054998,0.021990,0.131099,5051334.560000,0.032375,228077653.140000,357973531.00,340064308.00
sz.000035,2013-08-26,2013-06-30,,0.164484,0.111761,6731154.940000,-2.695627,,188953707.00,188953707.00
sz.000036,2013-08-29,2013-06-30,0.001228,0.086132,0.502124,7781410.940000,0.018167,85276975.930000,1123887712.00,1123887712.00
sz.000037,2013-08-13,2013-06-30,-0.067774,-0.201137,-0.611320,-113738115.140000,-0.332223,564655995.030000,602762596.00,338894012.00
sz.000038,2013-08-10,2013-06-30,-0.021880,-0.127819,0.143484,-3699655.930000,0.037798,28944421.920000,96227998.00,24881998.00
sz.000039,2013-08-28,2013-06-30,0.028222,0.025021,0.154792,715229000.000000,0.584940,28142560000.000000,2662396051.00,1231544516.00
sz.000040,2013-08-23,2013-06-30,0.057951,0.324702,0.507123,69275229.990000,0.289443,213349878.850000,469593364.00,464171038.00
sz.000042,2013-08-03,2013-06-30,0.072851,0.355782,0.545741,209879660.910000,1.630684,589866854.540000,239463040.00,239395328.00
sz.000045,2013-08-24,2013-06-30,-0.002045,-0.006319,0.084036,-3642102.170000,-0.130093,574519173.100000,506521849.00,233258409.00
sz.000046,2013-08-24,2013-06-30,0.024074,0.129877,0.578914,200104131.940000,0.209274,1536759485.490000,4557311768.00,4546118928.00
sz.000048,2013-08-29,2013-06-30,0.083072,0.051551,0.111094,35107273.410000,0.152179,679433611.530000,390768671.00,379858689.00
sz.000049,2013-08-06,2013-06-30,0.184498,0.066990,0.175556,95631324.780000,1.220268,1426128703.890000,136829160.00,136829160.00
sz.000050,2013-08-24,2013-06-30,0.015699,0.024576,0.165157,55324148.000000,0.113157,2183214968.000000,574237500.00,574220625.00
sz.000055,2013-07-30,2013-06-30,0.035556,0.050943,0.206743,37536039.510000,0.068260,716466138.210000,756909905.00,420854275.00
sz.000056,2013-08-22,2013-06-30,,-5.183553,0.211578,-63804443.440000,-0.402959,12275417.450000,220901184.00,119212992.00
sz.000058,2013-08-15,2013-06-30,0.032641,0.172523,0.240045,48280238.350000,0.068349,,784799010.00,538302228.00
sz.000059,2013-08-17,2013-06-30,-0.045456,-0.015585,0.092634,-332640924.340000,-0.190295,20903392589.490000,1200506367.00,1200506367.00
sz.000060,2013-08-24,2013-06-30,0.021584,0.023783,0.182931,95865565.500000,0.166874,3990788387.860000,2062940880.00,2061256466.00
sz.000061,2013-08-28,2013-06-30,0.009226,0.085025,0.421079,95046417.340000,-0.003799,1115597400.690000,1696964131.00,1369790431.00
sz.000062,2013-07-31,2013-06-30,0.048378,0.126718,0.492025,72613082.950000,0.489016,567012418.580000,666949797.00,666942297.00
sz.000063,2013-08-22,2013-06-30,0.014347,0.008762,0.275228,329244000.000000,-0.806908,37576212000.000000,3440078020.00,2799232018.00
sz.000065,2013-08-27,2013-06-30,0.042141,0.032276,0.034205,25757958.250000,0.558322,797801321.780000,211168256.00,211168256.00
sz.000066,2013-08-30,2013-06-30,0.001499,-0.006198,0.089079,-225152870.400000,-0.180252,35984907287.990000,1323593886.00,574144120.00
sz.000068,2013-08-14,2013-06-30,-0.079073,-0.041672,0.019709,-17723758.990000,-0.013874,421860123.130000,896671464.00,896667999.00
sz.000069,2013-08-16,2013-06-30,0.088382,0.186991,0.560614,1985562664.820000,0.635858,10582733444.460000,7271498566.00,3114261421.00
sz.000070,2013-08-24,2013-06-30,0.045185,0.063953,0.194174,42917543.750000,0.239928,622499371.160000,271000000.00,237520956.00
sz.000078,2013-08-27,2013-06-30,0.044483,0.022557,0.149774,84932338.310000,0.081427,3756745378.410000,731713855.00,651564483.00
sz.000088,2013-08-21,2013-06-30,0.039855,1.388427,0.586437,198096405.370000,0.212248,142676814.970000,1942200000.00,1942127797.00
sz.000089,2013-08-16,2013-06-30,0.043177,0.269287,0.414366,326417756.680000,0.367302,1190353355.770000,1690254380.00,1690195594.00
sz.000090,2013-08-06,2013-06-30,0.031018,0.052523,0.199556,101131602.740000,0.368883,2057607919.710000,552530794.00,552526113.00
sz.000096,2013-08-20,2013-06-30,0.014895,0.065954,0.063473,27412946.940000,0.028686,415169443.990000,528000000.00,510848000.00
sz.000099,2013-08-27,2013-06-30,0.040736,0.157432,0.273335,82067993.290000,0.303278,521292584.620000,513603019.00,513603019.00
sz.000100,2013-08-16,2013-06-30,0.051759,0.027292,0.175138,1066075000.000000,0.134584,38123471000.000000,8476218834.00,7924916220.00
sz.000150,2013-08-27,2013-06-30,0.015217,0.484599,0.311226,10804375.440000,0.031819,22295515.100000,324000000.00,324000000.00
sz.000151,2013-08-10,2013-06-30,0.041138,0.064624,0.165023,36780559.170000,0.247823,569094952.020000,295980000.00,266543967.00
sz.000153,2013-08-30,2013-06-30,0.013705,0.016261,0.250499,11572772.210000,0.064672,697436480.720000,312141230.00,231045200.00
